col1,col2,col3,col4
Glacier, Ofentalgletscher, ,
Community, Saas Almagell, ,
Canton, VS, ,
Number, , ,
Length (1973), 0.90, ,
Area (1973), 0.39, ,
Coordinates, 644.0, 96.0,
Exposition, NW, ,
  , , ,
Length variation measurements between 1922 and 1992, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1922, 1923, 0, 0, 
1923, 1924, 0, 0, 
1924, 1925, 0, 0, 
1925, 1926, -7, -7, 
1927, 1928, -4, -11, 
1928, 1929, -3, -14, 
1929, 1930, -2, -16, 
1930, 1931, -12, -28, 
1931, 1932, -2, -30, 
1932, 1933, -13, -43, 
1933, 1934, -5, -48, 
1935, 1936, -8, -56, 
1936, 1940, -32, -88, 
1945, 1946, 0, -88, 
1947, 1948, -3, -91, 
1948, 1949, -12, -103, 
1949, 1950, -10, -113, 
1950, 1951, -6, -119, 
1951, 1952, -6, -125, 
1952, 1953, -12, -137, 
1953, 1954, -2, -139, 
1954, 1955, -14, -153, 
1955, 1956, -1, -154, 
1956, 1957, -6, -160, 
1957, 1958, -2, -162, 
1958, 1959, -8, -170, 
1959, 1962, +4, -166, 
1962, 1964, -8, -174, 
1964, 1966, -13, -187, 
1966, 1967, -6, -193, 
1967, 1968, -4, -197, 
1968, 1969, 0, -197, 
1969, 1970, -9, -206, 
1970, 1980, +68, -138, 
1980, 1981, 0, -138, 
1981, 1982, -28, -166, 
1982, 1983, -25, -191, 
1983, 1984, 0, -191, 
1984, 1985, +11, -180, 
1985, 1986, 0, -180, 
1986, 1987, -120, -300, 
1987, 1988, -197, -497, 
1988, 1989, -18, -515, 
1989, 1990, -84, -599, 
1990, 1992, -42, -641, 
