col1,col2,col3,col4
Glacier, Glacier d' Orny, ,
Community, Orsi�res, ,
Canton, VS, ,
Number, , ,
Length (1973), 2.85, ,
Area (1973), 1.55, ,
Coordinates, 570.0, 94.0,
Exposition, E, ,
  , , ,
Length variation measurements between 1882 and 1989, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1882, 1883, +10, 10, 
1883, 1884, +15, 25, 
1884, 1885, -7, 18, 
1890, 1891, +11, 29, 
1916, 1917, -2, 27, 
1917, 1918, +7, 34, 
1918, 1919, +8, 42, 
1919, 1920, +2, 44, 
1920, 1921, -6, 38, 
1921, 1923, -9, 29, 
1923, 1924, -2, 27, 
1924, 1925, 0, 27, 
1925, 1926, +4, 31, 
1926, 1927, -6, 25, 
1927, 1928, -6, 19, 
1928, 1929, -8, 11, 
1929, 1930, -6, 5, 
1930, 1931, +2, 7, 
1931, 1934, -24, -17, 
1934, 1936, -24, -41, 
1988, 1989, 0, -41, 
