col1,col2,col3,col4
Glacier, Glacier d' Otemma, ,
Community, Bagnes, ,
Canton, VS, ,
Number, , ,
Length (1973), 8.70, ,
Area (1973), 17.51, ,
Coordinates, 601.5, 90.0,
Exposition, SW, ,
  , , ,
Length variation measurements between 1881 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1881, 1882, 0, 0, 
1889, 1890, -3, -3, 
1890, 1891, -22, -25, 
1892, 1893, -17, -42, 
1893, 1894, -15, -57, 
1894, 1895, -3, -60, 
1895, 1896, -43, -103, 
1896, 1897, -5, -108, 
1897, 1898, -17, -125, 
1898, 1899, -31, -156, 
1899, 1900, -12, -168, 
1900, 1901, -22, -190, 
1901, 1902, -5, -195, 
1902, 1903, 0, -195, 
1903, 1904, -19, -214, 
1920, 1921, -30, -244, 
1924, 1927, -100, -344, 
1930, 1932, -32, -376, 
1954, 1955, -10, -386, 
1955, 1956, -20, -406, 
1956, 1957, 0, -406, 
1957, 1958, -22, -428, 
1958, 1959, -15, -443, 
1959, 1960, -19, -462, 
1962, 1963, -20, -482, 
1963, 1964, -14, -496, 
1964, 1965, -12, -508, 
1965, 1966, -13, -521, 
1966, 1967, -10, -531, 
1967, 1968, -1, -532, 
1968, 1969, -60, -592, 
1969, 1970, -66, -658, 
1970, 1971, -95, -753, 
1971, 1972, -43, -796, 
1972, 1973, -17, -813, 
1973, 1975, -97, -910, 
1975, 1976, -18, -928, 
1976, 1977, -18, -946, 
1977, 1978, -5, -951, 
1978, 1979, 0, -951, 
1979, 1980, -18, -969, 
1980, 1982, -72, -1041, 
1982, 1983, -35, -1076, 
1983, 1985, -101.5, -1178, 
1985, 1986, -25, -1203, 
1986, 1988, -50, -1253, 
1988, 1989, -25, -1278, 
1989, 1990, -28, -1306, 
1990, 1991, -13, -1319, 
1991, 1992, -13, -1332, 
1992, 1993, -40, -1372, 
1993, 1994, -32, -1404, 
1994, 1995, -13, -1417, 
1995, 1996, -70, -1487, 
1996, 1997, -44, -1531, 
1997, 1998, -22, -1553, 
1998, 1999, -24, -1577, 
1999, 2000, -34.3, -1611, 
2000, 2001, -24.2, -1635, 
2001, 2002, -29.2, -1664, 
2002, 2003, -107.0, -1771, 
2003, 2004, -19.1, -1790, 
2004, 2005, -41.5, -1832, 
2005, 2006, -99.8, -1932, 
2006, 2007, -61, -1993, 
2007, 2008, -31.2, -2024, 
2008, 2009, -51.2, -2075, 
2009, 2010, -37.4, -2112, 
2010, 2011, -15.4, -2128, 
2011, 2012, -10.2, -2138, 
2012, 2013, -18.2, -2156, 
2013, 2014, -32.8, -2189, 
2014, 2015, -24.3, -2213, 
2015, 2016, -77.4, -2291, 
