col1,col2,col3,col4
Glacier, Vadret da Pal�, ,
Community, Poschiavo, ,
Canton, GR, ,
Number, , ,
Length (1973), 3.80, ,
Area (1973), 6.47, ,
Coordinates, 795.5, 138.5,
Exposition, E, ,
  , , ,
Length variation measurements between 1894 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1894, 1895, +4, 4, 
1895, 1897, -24, -20, 
1897, 1898, -4, -24, 
1898, 1899, -11, -35, 
1899, 1900, -2, -37, 
1900, 1901, -8, -45, 
1901, 1902, -15, -60, 
1902, 1903, -13, -73, 
1903, 1904, -15, -88, 
1904, 1905, -18, -106, 
1905, 1906, -1, -107, 
1906, 1907, -52, -159, 
1907, 1908, -16, -175, 
1908, 1909, -37, -212, 
1909, 1910, -25, -237, 
1910, 1911, -27, -264, 
1911, 1912, -22, -286, 
1912, 1913, -24, -310, 
1913, 1914, -22, -332, 
1914, 1916, -12, -344, 
1916, 1918, +32.5, -312, 
1918, 1919, +66.5, -245, 
1919, 1920, +6, -239, 
1920, 1921, +23, -216, 
1923, 1924, -7, -223, 
1924, 1925, -7, -230, 
1925, 1926, +4.5, -226, 
1926, 1928, -5, -231, 
1928, 1929, -20, -251, 
1929, 1930, -16, -267, 
1930, 1932, -27, -294, 
1932, 1933, -39, -333, 
1933, 1954, -542, -875, 
1954, 1955, -14, -889, 
1955, 1956, -16, -905, 
1956, 1957, -24, -929, 
1957, 1958, -20, -949, 
1958, 1959, -20, -969, 
1959, 1960, -11, -980, 
1960, 1961, -37, -1017, 
1961, 1962, -22, -1039, 
1962, 1963, -24, -1063, 
1963, 1964, -8, -1071, 
1964, 1965, -16, -1087, 
1965, 1967, -15, -1102, 
1967, 1969, -4, -1106, 
1969, 1970, +18, -1088, 
1970, 1971, -8, -1096, 
1971, 1972, +22, -1074, 
1972, 1975, +30, -1044, 
1975, 1976, +4, -1040, 
1976, 1977, +8, -1032, 
1977, 1978, +10, -1022, 
1978, 1981, +37, -985, 
1981, 1984, +32, -953, 
1984, 1985, +6, -947, 
1985, 1986, +5, -942, 
1986, 1988, -7, -949, 
1988, 1990, -16, -965, 
1990, 1991, -12, -977, 
1991, 1992, -7, -984, 
1992, 1993, -7, -991, 
1993, 1994, -9, -1000, 
1994, 1995, -8, -1008, 
1995, 1996, -10, -1018, 
1996, 1997, -7, -1025, 
1997, 1998, -11, -1036, 
1998, 1999, -19, -1055, 
1999, 2000, -57, -1112, 
2000, 2001, +9.5, -1102, 
2001, 2002, -28, -1130, 
2002, 2004, -66, -1196, 
2004, 2006, -37, -1233, 
2006, 2007, -27, -1260, 
2007, 2008, -8, -1268, 
2008, 2010, 0, -1268, 
2010, 2011, -13.4, -1281, 
2011, 2012, -21.6, -1303, 
2012, 2013, -18.1, -1321, 
2013, 2014, -0.7, -1322, 
2014, 2015, -23.8, -1346, 
2015, 2016, -16.2, -1362, 
