col1,col2,col3,col4
Glacier, Glacier de Paneirosse, ,
Community, Bex, ,
Canton, VD, ,
Number, , ,
Length (1973), 0.95, ,
Area (1973), 0.46, ,
Coordinates, 578.3, 122.7,
Exposition, NE, ,
  , , ,
Length variation measurements between 1886 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1886, 1887, 0, 0, 
1893, 1894, -4, -4, 
1894, 1895, -4, -8, 
1895, 1896, 0, -8, 
1896, 1897, -4, -12, 
1897, 1898, -1, -13, 
1898, 1899, -4, -17, 
1899, 1900, -4, -21, 
1900, 1901, -1, -22, 
1901, 1902, -3, -25, 
1902, 1903, -4, -29, 
1903, 1904, -8, -37, 
1904, 1905, -6, -43, 
1905, 1906, -8, -51, 
1906, 1907, -13, -64, 
1907, 1908, -10, -74, 
1908, 1909, -4, -78, 
1909, 1910, +3, -75, 
1910, 1911, -18, -93, 
1911, 1912, +14, -79, 
1912, 1913, 0, -79, 
1913, 1915, -36, -115, 
1915, 1916, +10, -105, 
1916, 1917, 0, -105, 
1917, 1918, -8, -113, 
1918, 1919, -32, -145, 
1919, 1920, -5, -150, 
1920, 1921, -20, -170, 
1921, 1922, +2, -168, 
1922, 1923, +2, -166, 
1923, 1924, 0, -166, 
1924, 1925, -4, -170, 
1925, 1926, -11, -181, 
1926, 1927, +9, -172, 
1927, 1928, -120, -292, 
1928, 1929, -5, -297, 
1929, 1930, +12, -285, 
1930, 1931, -33, -318, 
1931, 1932, +18, -300, 
1932, 1933, +4, -296, 
1933, 1934, -6, -302, 
1934, 1935, -6, -308, 
1935, 1937, -31, -339, 
1937, 1938, -26, -365, 
1938, 1941, +45, -320, 
1941, 1947, -331, -651, 
1947, 1948, -4, -655, 
1949, 1953, -73, -728, 
1953, 1954, -1, -729, 
1954, 1955, 0, -729, 
1955, 1957, -2, -731, 
1957, 1958, +2, -729, 
1958, 1970, +26, -703, 
1970, 1971, -17, -720, 
1971, 1973, -14, -734, 
1973, 1976, +6, -728, 
1976, 1977, -7, -735, 
1977, 1978, +36, -699, 
1978, 1979, -16, -715, 
1979, 1980, +18, -697, 
1980, 1981, -9, -706, 
1981, 1982, -13, -719, 
1982, 1983, -8, -727, 
1983, 1984, +22, -705, 
1984, 1985, -17, -722, 
1985, 1986, -5, -727, 
1986, 1987, +5, -722, 
1987, 1988, -4, -726, 
1988, 1989, -7, -733, 
1989, 1990, 1, -732, 
1990, 1991, -7, -739, 
1991, 1992, 0, -739, 
1992, 1994, -4, -743, 
1994, 1995, +6, -737, 
1995, 1996, -7, -744, 
1996, 1997, -2, -746, 
1997, 1998, -3, -749, 
1997, 1999, +11, -735, 
1999, 2000, +0.2, -735, 
2000, 2001, -4.55, -739, 
2001, 2003, -2.2, -742, 
2003, 2004, -1, -743, 
2004, 2006, -4.2, -747, 
2006, 2007, -1.7, -748, 
2007, 2008, -1.9, -750, 
2008, 2009, -5.4, -756, 
2009, 2010, -9.3, -765, 
2010, 2011, -7.7, -773, 
2011, 2012, -3.3, -776, 
2012, 2013, 1.5, -775, 
2013, 2014, -8.7, -783, 
2014, 2015, -7.4, -791, 
2015, 2016, -1.8, -792, 
