col1,col2,col3,col4
Glacier, Paradiesgletscher, ,
Community, Hinterrein, ,
Canton, GR, ,
Number, , ,
Length (1973), 3.65, ,
Area (1973), 3.99, ,
Coordinates, 724.1, 149.7,
Exposition, N, ,
  , , ,
Length variation measurements between 1873 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1873, 1898, -216, -216, 
1898, 1899, -8, -224, 
1899, 1900, -11, -235, 
1900, 1901, 0, -235, 
1901, 1902, -3, -238, 
1902, 1903, +3, -235, 
1903, 1904, -22, -257, 
1904, 1906, -68, -325, 
1906, 1907, -32, -357, 
1907, 1908, -13, -370, 
1908, 1910, -13, -383, 
1910, 1911, -17, -400, 
1911, 1912, +11, -389, 
1912, 1913, -22, -411, 
1913, 1916, -14, -425, 
1916, 1917, +10, -415, 
1917, 1919, -10, -425, 
1919, 1920, -5, -430, 
1920, 1921, -55, -485, 
1921, 1922, -35, -520, 
1923, 1924, -18, -538, 
1924, 1925, -16, -554, 
1925, 1926, -7, -561, 
1926, 1927, -21, -582, 
1927, 1928, -21, -603, 
1928, 1929, -17, -620, 
1929, 1930, -10, -630, 
1930, 1931, -10, -640, 
1931, 1932, -3, -643, 
1932, 1933, -10, -653, 
1933, 1934, -30, -683, 
1934, 1935, -24, -707, 
1935, 1937, -28, -735, 
1937, 1938, -45, -780, 
1938, 1941, -18, -798, 
1941, 1942, -20, -818, 
1942, 1943, -40, -858, 
1943, 1945, -23, -881, 
1945, 1946, -14, -895, 
1946, 1947, -46, -941, 
1947, 1948, -62, -1003, 
1948, 1949, -4, -1007, 
1949, 1950, -82, -1089, 
1950, 1951, +70, -1019, 
1951, 1953, -131, -1150, 
1953, 1954, -20, -1170, 
1954, 1955, -54, -1224, 
1955, 1956, -40, -1264, 
1956, 1957, -34, -1298, 
1957, 1958, -16, -1314, 
1958, 1959, -31, -1345, 
1959, 1961, -38, -1383, 
1961, 1962, -51, -1434, 
1962, 1963, -48, -1482, 
1963, 1965, -48, -1530, 
1965, 1966, -25, -1555, 
1966, 1967, -2, -1557, 
1967, 1968, +12, -1545, 
1968, 1969, -10, -1555, 
1969, 1970, -14, -1569, 
1970, 1971, -44, -1613, 
1971, 1972, 0, -1613, 
1972, 1973, -9, -1622, 
1973, 1974, -11, -1633, 
1974, 1975, -4, -1637, 
1975, 1976, -371, -2008, 
1976, 1977, -43, -2051, 
1977, 1978, +94, -1957, 
1978, 1979, -56, -2013, 
1979, 1980, -23, -2036, 
1980, 1981, -15, -2051, 
1981, 1982, -20, -2071, 
1982, 1983, -20, -2091, 
1983, 1984, -5, -2096, 
1984, 1985, -17, -2113, 
1985, 1986, -11, -2124, 
1986, 1987, -8, -2132, 
1987, 1988, -21, -2153, 
1988, 1989, -21, -2174, 
1989, 1990, -13, -2187, 
1990, 1991, -21, -2208, 
1991, 1992, -704.5, -2913, 
1992, 1993, -1, -2914, 
1993, 1994, -10, -2924, 
1994, 1995, +12, -2912, 
1995, 1996, -12, -2924, 
1996, 1997, -11, -2935, 
1997, 1998, -5, -2940, 
1998, 1999, -5, -2945, 
1999, 2000, -3.1, -2948, 
2000, 2001, +4.4, -2943, 
2001, 2002, -3.9, -2947, 
2002, 2003, -10.5, -2958, 
2003, 2004, -0.1, -2958, 
2004, 2005, -0.8, -2959, 
2005, 2006, -35.2, -2994, 
2006, 2007, -5.7, -2999, 
2007, 2008, +2.1, -2997, 
2008, 2009, +1.9, -2995, 
2009, 2010, +0.4, -2995, 
2010, 2011, -18.6, -3014, 
2011, 2012, -10.8, -3024, 
2012, 2013, +0.8, -3024, 
2013, 2014, +1.8, -3022, 
2014, 2015, -23.8, -3046, 
2015, 2016, +6.6, -3039, 
