col1,col2,col3,col4
Glacier, Vedreit da Camp, ,
Community, Poschiavo, ,
Canton, GR, ,
Number, , ,
Length (1973), 1.15, ,
Area (1973), 0.54, ,
Coordinates, 805.3, 144.7,
Exposition, W, ,
  , , ,
Length variation measurements between 1955 and 2015, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1955, 1956, -3.4, -3, 
1956, 1957, 0, -3, 
1957, 1958, -15, -18, 
1958, 1959, +0.8, -18, 
1959, 1960, -10.8, -28, 
1960, 1961, -11.7, -40, 
1961, 1962, -6.7, -47, 
1962, 1963, +9.2, -38, 
1963, 1964, -0.9, -38, 
1963, 1965, -6.5, -44, 
1965, 1966, +6.5, -38, 
1966, 1967, -4, -42, 
1967, 1968, -2, -44, 
1968, 1969, -2, -46, 
1969, 1970, -4, -50, 
1970, 1971, -2, -52, 
1971, 1980, -7, -59, 
1980, 1982, -22, -81, 
1982, 1983, +11, -70, 
1983, 1985, -3, -73, 
1985, 1986, 1, -72, 
1986, 1987, -14, -86, 
1987, 1988, -12, -98, 
1988, 1989, -1, -99, 
1989, 1990, +9, -90, 
1990, 1991, -12, -102, 
1991, 1992, +3, -99, 
1992, 1993, +4, -95, 
1993, 1994, -3, -98, 
1994, 1995, 0, -98, 
1995, 1996, -13.4, -111, 
1996, 1998, -10.5, -121, 
1998, 2001, +17, -104, 
2001, 2002, -6.5, -111, 
2002, 2003, -52, -163, 
2003, 2004, -35, -198, 
2004, 2005, -24, -222, 
2005, 2006, -38, -260, 
2006, 2007, -2, -262, 
2007, 2008, -11, -273, 
2008, 2010, -40, -313, 
2011, 2012, -11.6, -325, 
2012, 2013, -8.5, -333, 
2013, 2014, -7.5, -341, 
2014, 2015, -16.8, -357, 
