col1,col2,col3,col4
Glacier, Glacier de Pierredar, ,
Community, Ormont-Dessus, ,
Canton, VD, ,
Number, , ,
Length (1973), 0.85, ,
Area (1973), 0.50, ,
Coordinates, 580.3, 128.3,
Exposition, N, ,
  , , ,
Length variation measurements between 1923 and 1974, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1923, 1924, 0, 0, 
1925, 1926, 0, 0, 
1926, 1927, 0, 0, 
1929, 1930, 0, 0, 
1932, 1933, 0, 0, 
1961, 1962, +4, 4, 
1962, 1963, -7, -3, 
1963, 1964, -7, -10, 
1964, 1965, +15, 5, 
1965, 1966, +8, 13, 
1966, 1967, -6, 7, 
1968, 1969, 0, 7, 
1969, 1970, 0, 7, 
1970, 1971, 0, 7, 
1971, 1973, -4, 3, 
1973, 1974, +15, 18, 
