col1,col2,col3,col4
Glacier, Plattalvagletscher (Griessfirn), ,
Community, Linthal, ,
Canton, GL, ,
Number, , ,
Length (1973), 1.40, ,
Area (1973), 0.72, ,
Coordinates, 718.4, 188.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1969 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1969, 1970, 0, 0, 
1970, 1971, -9, -9, 
1971, 1972, -1, -10, 
1972, 1973, -14, -24, 
1973, 1974, 0, -24, 
1974, 1975, +6, -18, 
1975, 1976, -8, -26, 
1976, 1977, 0, -26, 
1977, 1978, +6, -20, 
1978, 1979, +2, -18, 
1979, 1980, 0, -18, 
1980, 1981, +6, -12, 
1981, 1982, -9, -21, 
1982, 1983, -2, -23, 
1983, 1984, +2, -21, 
1984, 1985, -2, -23, 
1985, 1990, -53, -76, 
1990, 1991, -10, -86, 
1991, 1992, 1, -85, 
1992, 1994, -8, -93, 
1994, 1995, -4, -97, 
1995, 1996, -1, -98, 
1996, 1997, -2, -100, 
1997, 2001, -11.6, -112, 
2001, 2002, -8.5, -120, 
2002, 2003, -22, -142, 
2003, 2004, -2.9, -145, 
2004, 2005, -19.6, -165, 
2005, 2006, -16.8, -181, 
2006, 2007, -13.9, -195, 
2007, 2008, -19.5, -215, 
2008, 2009, -21.2, -236, 
2009, 2010, -18.9, -255, 
2010, 2011, -19.3, -274, 
2011, 2012, -46.6, -321, 
2012, 2013, -3.1, -324, 
2013, 2014, -17.8, -342, 
2014, 2015, -19.8, -362, 
2015, 2016, -16.6, -378, 
