col1,col2,col3,col4
Glacier, Vadret da Porchabella, ,
Community, Berg�n/Bravuogn, ,
Canton, GR, ,
Number, , ,
Length (1973), 2.40, ,
Area (1973), 2.58, ,
Coordinates, 787.0, 167.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1893 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, +2, 2, 
1894, 1895, -8, -6, 
1895, 1897, -10, -16, 
1897, 1899, -8, -24, 
1899, 1900, -11, -35, 
1900, 1901, -4, -39, 
1901, 1902, -6, -45, 
1902, 1903, -4, -49, 
1903, 1904, -8, -57, 
1904, 1905, -12, -69, 
1905, 1906, -7, -76, 
1906, 1907, -6, -82, 
1907, 1908, -7, -89, 
1908, 1909, -7, -96, 
1909, 1910, -3, -99, 
1910, 1911, -21, -120, 
1911, 1912, +14, -106, 
1912, 1913, -5, -111, 
1913, 1914, 1, -110, 
1914, 1916, -2, -112, 
1916, 1918, -6, -118, 
1918, 1919, +6, -112, 
1919, 1920, -1, -113, 
1920, 1921, -5, -118, 
1921, 1922, -5, -123, 
1922, 1923, -7, -130, 
1923, 1924, -5, -135, 
1924, 1925, -8, -143, 
1925, 1926, 0, -143, 
1926, 1927, -8, -151, 
1927, 1928, -14, -165, 
1928, 1929, -8, -173, 
1929, 1930, -12, -185, 
1930, 1931, -13, -198, 
1931, 1932, -4, -202, 
1932, 1933, -10, -212, 
1933, 1934, -14, -226, 
1934, 1935, -10, -236, 
1935, 1936, -4, -240, 
1936, 1937, -12, -252, 
1937, 1938, -11, -263, 
1938, 1940, -16, -279, 
1940, 1941, -8, -287, 
1941, 1943, -23, -310, 
1943, 1945, -10, -320, 
1945, 1946, -28, -348, 
1946, 1947, -41, -389, 
1947, 1948, -14, -403, 
1948, 1949, -26, -429, 
1949, 1950, -34, -463, 
1950, 1951, -23, -486, 
1951, 1953, -34, -520, 
1953, 1954, -10, -530, 
1954, 1956, -30, -560, 
1956, 1957, -8, -568, 
1957, 1958, -22, -590, 
1958, 1961, -43, -633, 
1961, 1962, -8, -641, 
1962, 1963, -22, -663, 
1963, 1964, -24, -687, 
1964, 1965, -31, -718, 
1965, 1966, -8, -726, 
1966, 1967, -9, -735, 
1967, 1968, -13, -748, 
1968, 1969, -18, -766, 
1969, 1970, -10, -776, 
1970, 1971, -16, -792, 
1971, 1972, -1, -793, 
1972, 1975, -80, -873, 
1975, 1976, -20, -893, 
1976, 1977, -8, -901, 
1977, 1978, -4, -905, 
1978, 1979, -37, -942, 
1979, 1980, 0, -942, 
1980, 1981, -8, -950, 
1981, 1982, -10, -960, 
1982, 1983, -3, -963, 
1983, 1984, -8, -971, 
1984, 1985, -6, -977, 
1985, 1986, -8, -985, 
1986, 1987, -7, -992, 
1987, 1988, -7, -999, 
1988, 1989, -4, -1003, 
1989, 1990, -7, -1010, 
1990, 1991, -9, -1019, 
1991, 1992, -10, -1029, 
1992, 1994, -15, -1044, 
1994, 1995, -6, -1050, 
1995, 1997, -14, -1064, 
1997, 1998, -16, -1080, 
1998, 1999, -7, -1087, 
1999, 2000, -6.6, -1094, 
2000, 2001, -.5, -1094, 
2001, 2003, -32, -1126, 
2003, 2004, -11, -1137, 
2004, 2005, -19.8, -1157, 
2005, 2006, -17, -1174, 
2006, 2007, -26.6, -1200, 
2007, 2008, -22.2, -1223, 
2008, 2009, -16.5, -1239, 
2009, 2010, -15.6, -1255, 
2010, 2011, -18.7, -1273, 
2011, 2012, -22.4, -1296, 
2012, 2013, -12.9, -1309, 
2013, 2014, -11, -1320, 
2014, 2015, -15.3, -1335, 
2015, 2016, -22.9, -1358, 
