col1,col2,col3,col4
Glacier, Glacier du Prapio, ,
Community, Ormont-Dessus, ,
Canton, VD, ,
Number, , ,
Length (1973), 0.85, ,
Area (1973), 0.28, ,
Coordinates, 582.1, 129.7,
Exposition, NW, ,
  , , ,
Length variation measurements between 1898 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1898, 1899, -3, -3, 
1899, 1900, -5, -8, 
1900, 1901, 0, -8, 
1901, 1902, +13, 5, 
1902, 1903, +4, 9, 
1903, 1904, -20, -11, 
1904, 1906, +9, -2, 
1906, 1907, -13, -15, 
1907, 1908, -4, -19, 
1908, 1910, +19, 0, 
1910, 1911, -14, -14, 
1911, 1912, +10, -4, 
1912, 1915, -4, -8, 
1915, 1916, +13, 5, 
1916, 1917, -12, -7, 
1917, 1918, +7, 0, 
1918, 1919, +14, 14, 
1919, 1920, -21, -7, 
1920, 1921, -19, -26, 
1921, 1923, -8, -34, 
1924, 1925, -21, -55, 
1925, 1926, +10, -45, 
1926, 1927, +16, -29, 
1927, 1928, -16, -45, 
1929, 1930, +15, -30, 
1930, 1931, -5, -35, 
1931, 1932, -12, -47, 
1932, 1933, -8, -55, 
1933, 1934, +4, -51, 
1934, 1937, 0, -51, 
1937, 1938, -13, -64, 
1938, 1939, -4, -68, 
1939, 1940, +15, -53, 
1940, 1941, -6, -59, 
1941, 1942, -47, -106, 
1942, 1944, -58, -164, 
1944, 1946, +64, -100, 
1946, 1947, -88, -188, 
1948, 1949, +12, -176, 
1949, 1950, -26, -202, 
1950, 1951, +25, -177, 
1951, 1952, -7, -184, 
1952, 1954, +60, -124, 
1954, 1955, +15, -109, 
1955, 1956, +2, -107, 
1956, 1957, -12, -119, 
1957, 1958, +2, -117, 
1958, 1959, -2, -119, 
1959, 1960, +15, -104, 
1960, 1961, -16, -120, 
1961, 1962, +6, -114, 
1962, 1963, -15, -129, 
1963, 1964, -24, -153, 
1964, 1965, +24, -129, 
1965, 1966, -39, -168, 
1966, 1967, -10, -178, 
1969, 1970, +13, -165, 
1970, 1971, -21, -186, 
1971, 1972, -12, -198, 
1972, 1974, +5, -193, 
1972, 1975, -2, -200, 
1975, 1976, -4, -204, 
1976, 1977, +6, -198, 
1977, 1978, +11, -187, 
1978, 1979, -4, -191, 
1979, 1980, +7, -184, 
1980, 1981, -2, -186, 
1981, 1982, +2, -184, 
1982, 1983, -44, -228, 
1983, 1984, -4, -232, 
1984, 1985, -4, -236, 
1985, 1986, -2, -238, 
1986, 1987, +11, -227, 
1987, 1988, -12, -239, 
1988, 1989, -8, -247, 
1989, 1990, -10, -257, 
1990, 1991, -15, -272, 
1991, 1992, -10, -282, 
1992, 1993, -5, -287, 
1993, 1994, 0, -287, 
2001, 2002, -1.0, -288, 
2002, 2003, -4, -292, 
2003, 2005, -15.5, -308, 
2005, 2007, -5, -313, 
2007, 2008, -4.4, -317, 
2008, 2009, -6.1, -323, 
2009, 2010, -9.0, -332, 
2010, 2011, -12.5, -345, 
2013, 2014, +5.0, -340, 
2014, 2015, -1, -341, 
2015, 2016, -3, -344, 
