col1,col2,col3,col4
Glacier, Glatscher da Punteglias, ,
Community, Trun, ,
Canton, GR, ,
Number, , ,
Length (1973), 1.45, ,
Area (1973), 0.97, ,
Coordinates, 715.4, 184.0,
Exposition, SE, ,
  , , ,
Length variation measurements between 1895 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1895, 1897, -6, -6, 
1897, 1898, -9, -15, 
1898, 1899, -16, -31, 
1899, 1900, -4, -35, 
1900, 1901, -3, -38, 
1901, 1902, -12, -50, 
1902, 1903, -10, -60, 
1903, 1904, -8, -68, 
1904, 1905, -8, -76, 
1905, 1906, -4, -80, 
1906, 1907, -8, -88, 
1907, 1908, -10, -98, 
1908, 1909, -5, -103, 
1909, 1910, -11, -114, 
1910, 1911, -5, -119, 
1911, 1912, -10, -129, 
1912, 1913, +22, -107, 
1913, 1914, +15, -92, 
1914, 1917, -12, -104, 
1917, 1918, +6, -98, 
1918, 1919, -14, -112, 
1919, 1920, +15, -97, 
1920, 1921, -22, -119, 
1921, 1922, -42, -161, 
1922, 1923, -6, -167, 
1923, 1924, -7, -174, 
1924, 1925, +10, -164, 
1925, 1926, -5, -169, 
1926, 1927, -2, -171, 
1927, 1928, -12, -183, 
1928, 1929, -13, -196, 
1929, 1930, -4, -200, 
1930, 1931, -9, -209, 
1931, 1932, -4, -213, 
1932, 1933, -5, -218, 
1933, 1934, -8, -226, 
1934, 1935, -1, -227, 
1935, 1936, -3, -230, 
1936, 1937, -3, -233, 
1937, 1938, -4, -237, 
1938, 1940, -18, -255, 
1940, 1941, -16, -271, 
1941, 1942, -9, -280, 
1942, 1944, -14, -294, 
1944, 1945, -7, -301, 
1945, 1947, -42, -343, 
1947, 1948, -12, -355, 
1948, 1949, -60, -415, 
1949, 1950, -40, -455, 
1950, 1951, -4, -459, 
1951, 1953, -22, -481, 
1953, 1954, -5, -486, 
1954, 1955, -7, -493, 
1955, 1956, -10, -503, 
1956, 1957, -2, -505, 
1957, 1958, -9, -514, 
1958, 1959, -8, -522, 
1959, 1960, -4, -526, 
1960, 1961, -6, -532, 
1961, 1962, -11, -543, 
1962, 1963, -10, -553, 
1963, 1964, -32, -585, 
1964, 1965, +2, -583, 
1965, 1966, +7, -576, 
1966, 1967, -4, -580, 
1967, 1968, -4, -584, 
1968, 1969, -6, -590, 
1969, 1970, -8, -598, 
1970, 1971, -18, -616, 
1971, 1972, +2, -614, 
1972, 1973, -14, -628, 
1973, 1975, -16, -644, 
1975, 1976, -1, -645, 
1976, 1977, -4, -649, 
1977, 1978, -10, -659, 
1978, 1979, 0, -659, 
1979, 1980, -10, -669, 
1980, 1981, -10, -679, 
1981, 1982, -39, -718, 
1982, 1983, -11, -729, 
1983, 1984, -34, -763, 
1984, 1985, -17, -780, 
1985, 1986, -10, -790, 
1986, 1987, -9, -799, 
1987, 1988, -23, -822, 
1988, 1989, -9, -831, 
1989, 1991, -22, -853, 
1991, 1994, -38, -891, 
1994, 1995, -22, -913, 
1995, 1996, -6, -919, 
1996, 1997, -2, -921, 
1997, 1999, -28, -949, 
1999, 2001, -15.6, -965, 
2001, 2003, -10, -975, 
2003, 2004, -4.6, -979, 
2004, 2005, -10.6, -990, 
2005, 2006, -3.0, -993, 
2006, 2007, -7.3, -1000, 
2007, 2008, -10.3, -1010, 
2008, 2010, -12.5, -1023, 
2010, 2011, -27.8, -1051, 
2011, 2012, -12.1, -1063, 
2012, 2013, 4.9, -1058, 
2013, 2014, -1, -1059, 
2014, 2015, -26.6, -1085, 
2015, 2016, -3.1, -1089, 
