col1,col2,col3,col4
Glacier, R�tzligletscher (Plaine Morte), ,
Community, Lenk, ,
Canton, BE, ,
Number, , ,
Length (1973), 5.20, ,
Area (1973), 9.09, ,
Coordinates, 606.0, 136.5,
Exposition, NW, ,
  , , ,
Length variation measurements between 1925 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1925, 1928, -11, -11, 
1928, 1929, -19, -30, 
1929, 1930, -4, -34, 
1930, 1931, -7, -41, 
1931, 1932, -14, -55, 
1932, 1933, -14, -69, 
1933, 1934, -16, -85, 
1934, 1935, -1, -86, 
1935, 1936, -7, -93, 
1936, 1937, -10, -103, 
1937, 1938, -26, -129, 
1938, 1939, -4, -133, 
1939, 1941, -4, -137, 
1941, 1942, -16, -153, 
1942, 1943, -26, -179, 
1943, 1946, -28, -207, 
1946, 1947, -34, -241, 
1947, 1948, -14, -255, 
1948, 1949, -28, -283, 
1949, 1950, -32, -315, 
1950, 1951, -16, -331, 
1951, 1953, -36, -367, 
1953, 1956, -68, -435, 
1956, 1957, -43, -478, 
1957, 1958, -47, -525, 
1958, 1959, -17, -542, 
1959, 1960, -21, -563, 
1960, 1961, +6, -557, 
1961, 1962, -22, -579, 
1962, 1963, -12, -591, 
1963, 1965, -46, -637, 
1965, 1966, -6, -643, 
1966, 1967, -3, -646, 
1967, 1968, -5, -651, 
1968, 1969, -7, -658, 
1969, 1970, -3, -661, 
1970, 1971, -12, -673, 
1971, 1972, -25, -698, 
1972, 1973, -19, -717, 
1974, 1975, -13, -730, 
1975, 1976, -18, -748, 
1976, 1977, -2, -750, 
1977, 1978, +2, -748, 
1978, 1979, -5, -753, 
1979, 1980, +7, -746, 
1980, 1981, -18, -764, 
1981, 1982, -30, -794, 
1982, 1983, -22, -816, 
1983, 1984, -4, -820, 
1984, 1985, -1, -821, 
1985, 1986, -19, -840, 
1986, 1987, -16, -856, 
1987, 1988, -34, -890, 
1988, 1989, -30, -920, 
1989, 1990, -22, -942, 
1990, 1991, -20, -962, 
1991, 1993, -56, -1018, 
1993, 1994, 0, -1018, 
1994, 1995, -16, -1034, 
1995, 1997, -5, -1039, 
1997, 1999, -8, -1047, 
1999, 2000, 0, -1047, 
2011, 2012, -18.1, -1065, 
2012, 2013, -0.4, -1066, 
2013, 2014, -8.8, -1074, 
2014, 2015, -3.8, -1078, 
2015, 2016, -6.3, -1084, 
