col1,col2,col3,col4
Glacier, Rhonegletscher, ,
Community, Oberwald, ,
Canton, VS, ,
Number, , ,
Length (1973), 8.00, ,
Area (1973), 17.60, ,
Coordinates, 672.5, 162.0,
Exposition, S, ,
  , , ,
Length variation measurements between 1879 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1879, 1880, -52, -52, 
1880, 1881, -55, -107, 
1881, 1882, -73, -180, 
1882, 1883, -18, -198, 
1883, 1884, -20, -218, 
1884, 1885, -10, -228, 
1885, 1886, -10, -238, 
1886, 1887, -12, -250, 
1887, 1888, -12, -262, 
1888, 1889, -11, -273, 
1889, 1890, -7, -280, 
1890, 1891, -5, -285, 
1891, 1892, -1, -286, 
1892, 1893, -2, -288, 
1893, 1894, -20, -308, 
1894, 1895, -20, -328, 
1895, 1896, -8, -336, 
1896, 1897, -12, -348, 
1897, 1898, -5, -353, 
1898, 1899, -10, -363, 
1899, 1900, -11, -374, 
1900, 1901, -16, -390, 
1901, 1902, -13, -403, 
1902, 1903, -12, -415, 
1903, 1904, -8, -423, 
1904, 1905, -22, -445, 
1905, 1906, -16, -461, 
1906, 1907, -25, -486, 
1907, 1908, -29, -515, 
1908, 1909, -21, -536, 
1909, 1910, -13, -549, 
1910, 1911, -10, -559, 
1911, 1912, -11, -570, 
1912, 1913, +14, -556, 
1913, 1915, +22, -534, 
1915, 1916, +15, -519, 
1916, 1917, +4, -515, 
1917, 1918, +15, -500, 
1918, 1919, +33, -467, 
1919, 1920, +12, -455, 
1920, 1921, +22, -433, 
1921, 1922, -28, -461, 
1922, 1923, -9, -470, 
1923, 1924, -3, -473, 
1924, 1925, -12, -485, 
1925, 1926, +4, -481, 
1926, 1927, +6, -475, 
1927, 1928, -6, -481, 
1928, 1929, -5, -486, 
1929, 1930, -20, -506, 
1930, 1931, -16, -522, 
1931, 1932, -16, -538, 
1932, 1933, -9, -547, 
1933, 1934, -25, -572, 
1934, 1935, -17, -589, 
1935, 1936, -10, -599, 
1936, 1937, 0, -599, 
1937, 1938, -5, -604, 
1938, 1939, -7, -611, 
1939, 1940, +7, -604, 
1940, 1941, +14, -590, 
1941, 1942, -10, -600, 
1942, 1943, -10, -610, 
1943, 1944, -135, -745, 
1944, 1945, -15, -760, 
1945, 1946, -30, -790, 
1946, 1947, -80, -870, 
1947, 1948, -30, -900, 
1948, 1949, -22, -922, 
1949, 1950, -20, -942, 
1950, 1951, -7, -949, 
1951, 1952, 0, -949, 
1952, 1953, 0, -949, 
1953, 1954, 0, -949, 
1954, 1955, 0, -949, 
1955, 1956, 0, -949, 
1956, 1957, -9, -958, 
1957, 1958, -2, -960, 
1958, 1959, -8, -968, 
1959, 1960, -7, -975, 
1960, 1961, -4, -979, 
1961, 1962, -3, -982, 
1962, 1963, -86, -1068, 
1963, 1964, -6, -1074, 
1964, 1965, -12, -1086, 
1965, 1966, +11, -1075, 
1966, 1967, -5, -1080, 
1967, 1968, -11, -1091, 
1968, 1969, +6, -1085, 
1969, 1970, 0, -1085, 
1970, 1971, +7, -1078, 
1971, 1972, -10, -1088, 
1972, 1973, -5, -1093, 
1973, 1974, +3, -1090, 
1974, 1975, +17, -1073, 
1975, 1976, -18, -1091, 
1976, 1977, +15, -1076, 
1977, 1978, +7, -1069, 
1978, 1979, -3, -1072, 
1979, 1980, +16, -1056, 
1980, 1981, 0, -1056, 
1981, 1982, -5, -1061, 
1982, 1983, -1, -1062, 
1983, 1984, -2, -1064, 
1984, 1985, -1, -1065, 
1985, 1986, 1, -1064, 
1986, 1987, +9, -1055, 
1987, 1988, -19, -1074, 
1988, 1989, -5, -1079, 
1989, 1990, -16, -1095, 
1990, 1991, -31, -1126, 
1991, 1992, -10, -1136, 
1992, 1993, -12, -1148, 
1993, 1994, -7, -1155, 
1994, 1995, 1, -1154, 
1995, 1996, -9, -1163, 
1996, 1997, -18, -1181, 
1997, 1999, -11, -1192, 
1999, 2000, -5.9, -1198, 
2000, 2001, -6.1, -1204, 
2001, 2002, -11.1, -1215, 
2002, 2003, -2.0, -1217, 
2003, 2004, -11.4, -1229, 
2004, 2005, -7.5, -1236, 
2005, 2006, -7.6, -1244, 
2006, 2007, -11.6, -1255, 
2007, 2008, -3.3, -1258, 
2008, 2009, -4.1, -1263, 
2009, 2010, -3.2, -1266, 
2010, 2011, -50.6, -1316, 
2011, 2012, -40.1, -1356, 
2012, 2013, -30.6, -1387, 
2013, 2014, -27.6, -1415, 
2014, 2015, -6.2, -1421, 
2015, 2016, -18.0, -1439, 
