col1,col2,col3,col4
Glacier, Riedgletscher, ,
Community, St. Niklaus, ,
Canton, VS, ,
Number, , ,
Length (1973), 6.35, ,
Area (1973), 8.22, ,
Coordinates, 633.0, 108.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1895 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1895, 1896, +14, 14, 
1896, 1897, +12, 26, 
1897, 1898, -15, 11, 
1900, 1901, -1, 10, 
1901, 1902, -2, 8, 
1903, 1904, +6, 14, 
1957, 1958, -9, 5, 
1958, 1959, -24, -19, 
1959, 1960, -12, -31, 
1960, 1961, -12, -43, 
1961, 1962, -15, -58, 
1962, 1963, -8, -66, 
1963, 1964, -13, -79, 
1964, 1965, -23, -102, 
1965, 1966, -11, -113, 
1966, 1967, -21, -134, 
1967, 1968, -10, -144, 
1968, 1969, -15, -159, 
1969, 1970, -5, -164, 
1970, 1971, -10, -174, 
1971, 1972, -8, -182, 
1972, 1973, -10, -192, 
1973, 1974, -9, -201, 
1974, 1975, -4, -205, 
1975, 1976, -4, -209, 
1976, 1977, -5, -214, 
1977, 1978, -3, -217, 
1978, 1979, -15, -232, 
1979, 1980, -13, -245, 
1980, 1981, -20, -265, 
1981, 1982, -20, -285, 
1982, 1983, -8, -293, 
1983, 1984, 1, -292, 
1984, 1985, +3, -289, 
1985, 1986, +4, -285, 
1986, 1987, 0, -285, 
1987, 1988, +5, -280, 
1988, 1989, -16, -296, 
1989, 1990, -8, -304, 
1990, 1991, -6, -310, 
1991, 1992, -12, -322, 
1992, 1996, -60, -382, 
1996, 1997, -15, -397, 
1997, 1998, -12, -409, 
1998, 1999, -16, -425, 
1999, 2000, -31.5, -457, 
2000, 2001, -32.4, -489, 
2001, 2003, -62.2, -551, 
2003, 2004, -29.1, -580, 
2004, 2005, -16.2, -596, 
2005, 2006, -17.1, -614, 
2006, 2007, -9.3, -623, 
2007, 2008, -18.7, -642, 
2008, 2009, -500, -1142, 
2008, 2010, -580, -1222, 
2010, 2011, -6, -1228, 
2011, 2012, -11, -1239, 
2012, 2013, -82, -1321, 
2014, 2015, -30, -1351, 
2015, 2016, -40, -1391, 
