col1,col2,col3,col4
Glacier, Vadret da Roseg, ,
Community, Samedan, ,
Canton, GR, ,
Number, , ,
Length (1973), 4.90, ,
Area (1973), 8.52, ,
Coordinates, 785.5, 138.5,
Exposition, N, ,
  , , ,
Length variation measurements between 1855 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1855, 1881, -315, -315, 
1885, 1886, 0, -315, 
1894, 1895, +14, -301, 
1895, 1897, +3, -298, 
1897, 1898, +8, -290, 
1898, 1899, -56, -346, 
1899, 1900, -15, -361, 
1900, 1901, -12, -373, 
1901, 1902, -24, -397, 
1902, 1903, -35, -432, 
1903, 1904, -10, -442, 
1904, 1905, -21, -463, 
1905, 1906, -6, -469, 
1906, 1907, -3, -472, 
1907, 1908, -5, -477, 
1908, 1909, -49, -526, 
1909, 1910, -4, -530, 
1910, 1911, -32, -562, 
1911, 1912, 0, -562, 
1912, 1913, -25, -587, 
1913, 1916, +20, -567, 
1916, 1917, +56, -511, 
1917, 1918, +25, -486, 
1918, 1919, +12, -474, 
1919, 1920, +12, -462, 
1920, 1921, -4, -466, 
1921, 1922, -18, -484, 
1922, 1923, -32, -516, 
1923, 1924, -32, -548, 
1924, 1925, -24, -572, 
1925, 1926, -32, -604, 
1926, 1927, -34, -638, 
1927, 1928, -24, -662, 
1928, 1929, -10, -672, 
1929, 1930, -12, -684, 
1930, 1931, -12, -696, 
1931, 1934, -16, -712, 
1934, 1935, -11, -723, 
1935, 1936, -15, -738, 
1936, 1937, -10, -748, 
1937, 1938, -8, -756, 
1938, 1939, -24, -780, 
1939, 1940, -12, -792, 
1940, 1941, -18, -810, 
1941, 1942, -8, -818, 
1942, 1943, -12, -830, 
1943, 1944, -5, -835, 
1944, 1945, -26, -861, 
1945, 1946, -14, -875, 
1946, 1947, -12, -887, 
1947, 1948, -8, -895, 
1948, 1950, -109, -1004, 
1950, 1955, -255, -1259, 
1955, 1957, -78, -1337, 
1957, 1958, -32, -1369, 
1958, 1959, -26, -1395, 
1959, 1960, -26, -1421, 
1960, 1961, -38, -1459, 
1961, 1962, -32, -1491, 
1962, 1963, -30, -1521, 
1963, 1964, -33, -1554, 
1964, 1966, -18, -1572, 
1966, 1967, -28, -1600, 
1967, 1968, -50, -1650, 
1968, 1969, -31, -1681, 
1969, 1970, -18, -1699, 
1970, 1971, -42, -1741, 
1971, 1972, -33, -1774, 
1972, 1973, -37, -1811, 
1973, 1974, -114, -1925, 
1974, 1975, -16, -1941, 
1975, 1976, +13, -1928, 
1976, 1978, 0, -1928, 
1978, 1979, -42, -1970, 
1979, 1981, 0, -1970, 
1981, 1982, +13, -1957, 
1982, 1983, -7, -1964, 
1983, 1984, -5, -1969, 
1984, 1985, -10, -1979, 
1985, 1986, -38, -2017, 
1986, 1987, -13, -2030, 
1987, 1988, -9, -2039, 
1988, 1989, -11, -2050, 
1989, 1990, -7, -2057, 
1990, 1991, 0, -2057, 
1991, 1992, -12, -2069, 
1992, 1993, -47, -2116, 
1993, 1994, -30, -2146, 
1994, 1995, -84, -2230, 
1995, 1996, -36, -2266, 
1996, 1997, -63, -2329, 
1997, 1998, -42, -2371, 
1998, 1999, -35, -2406, 
1999, 2000, -54.1, -2460, 
2000, 2001, -118, -2578, 
2001, 2002, -4.1, -2582, 
2002, 2003, -53.5, -2636, 
2003, 2004, -53.7, -2689, 
2004, 2005, -55.5, -2745, 
2005, 2006, -27.3, -2772, 
2006, 2007, -27.3, -2800, 
2007, 2008, -17.9, -2817, 
2008, 2009, -31.5, -2849, 
2009, 2010, 0, -2849, 
2010, 2011, -1305, -4154, 
2011, 2012, -65.4, -4219, 
2012, 2013, -31.2, -4250, 
2013, 2014, -39.6, -4290, 
2014, 2015, +4.3, -4286, 
2015, 2016, -2, -4288, 
