col1,col2,col3,col4
Glacier, Rosenlauigletscher, ,
Community, Schattenhalb, ,
Canton, BE, ,
Number, , ,
Length (1973), 5.15, ,
Area (1973), 6.14, ,
Coordinates, 654.5, 166.5,
Exposition, NE, ,
  , , ,
Length variation measurements between 1880 and 1988, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1880, 1882, +61, 61, 
1882, 1883, +24, 85, 
1883, 1884, +30, 115, 
1886, 1887, 0, 115, 
1887, 1888, 0, 115, 
1888, 1889, 0, 115, 
1889, 1890, 0, 115, 
1893, 1894, -6, 109, 
1894, 1895, -23, 86, 
1895, 1896, -8, 78, 
1896, 1897, +25, 103, 
1897, 1898, +10, 113, 
1898, 1899, -2, 111, 
1899, 1900, -40, 71, 
1923, 1924, -10, 61, 
1924, 1925, -6, 55, 
1925, 1926, 0, 55, 
1926, 1927, -10, 45, 
1927, 1928, -15, 30, 
1928, 1929, -13, 17, 
1929, 1930, -9, 8, 
1930, 1931, -18, -10, 
1931, 1932, -12, -22, 
1932, 1933, -12, -34, 
1933, 1934, -10, -44, 
1934, 1935, -23, -67, 
1935, 1936, -10, -77, 
1936, 1937, -11, -88, 
1937, 1938, -8, -96, 
1953, 1954, -14, -110, 
1960, 1961, +9, -101, 
1961, 1962, +6, -95, 
1962, 1963, +12, -83, 
1963, 1965, +18, -65, 
1965, 1966, +25, -40, 
1966, 1967, +12, -28, 
1968, 1969, +7, -21, 
1973, 1974, -15, -36, 
1974, 1978, 0, -36, 
1986, 1987, 0, -36, 
1987, 1988, 0, -36, 
