col1,col2,col3,col4
Glacier, Rossbodegletscher, ,
Community, Simplon, ,
Canton, VS, ,
Number, , ,
Length (1973), 3.90, ,
Area (1973), 1.87, ,
Coordinates, 643.7, 114.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1891 and 2002, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1891, 1892, +5, 5, 
1892, 1893, 0, 5, 
1893, 1894, 0, 5, 
1894, 1895, 0, 5, 
1895, 1896, 0, 5, 
1896, 1897, 0, 5, 
1897, 1898, 0, 5, 
1898, 1899, -1, 4, 
1899, 1900, -4, 0, 
1900, 1901, -3, -3, 
1901, 1902, -8, -11, 
1902, 1903, -4, -15, 
1903, 1904, -10, -25, 
1904, 1905, -6, -31, 
1905, 1906, -8, -39, 
1906, 1907, -5, -44, 
1907, 1908, -2, -46, 
1908, 1909, -1, -47, 
1909, 1910, -6, -53, 
1910, 1911, -10, -63, 
1911, 1912, +4, -59, 
1912, 1913, +7, -52, 
1913, 1914, +3, -49, 
1914, 1915, +26, -23, 
1915, 1916, +14, -9, 
1916, 1917, +15, 6, 
1917, 1918, +36, 42, 
1918, 1919, +30, 72, 
1919, 1920, -20, 52, 
1920, 1921, +20, 72, 
1921, 1922, +37, 109, 
1922, 1923, +78, 187, 
1923, 1924, +40, 227, 
1924, 1925, +9, 236, 
1925, 1926, -12, 224, 
1926, 1927, -34, 190, 
1927, 1928, -4, 186, 
1928, 1929, -41, 145, 
1929, 1930, -51, 94, 
1930, 1931, +20, 114, 
1931, 1932, -7, 107, 
1932, 1933, -1, 106, 
1933, 1934, -14, 92, 
1934, 1935, -36, 56, 
1935, 1936, -16, 40, 
1936, 1937, -52, -12, 
1937, 1938, -119, -131, 
1938, 1940, -2, -133, 
1940, 1941, +15, -118, 
1941, 1942, +12, -106, 
1942, 1943, -6, -112, 
1943, 1944, -10, -122, 
1944, 1945, -8, -130, 
1945, 1946, +16, -114, 
1946, 1947, -2, -116, 
1947, 1948, 0, -116, 
1948, 1949, -11, -127, 
1949, 1950, -5, -132, 
1950, 1951, +7, -125, 
1951, 1952, -7, -132, 
1952, 1953, -8, -140, 
1953, 1954, -4, -144, 
1954, 1955, -2, -146, 
1956, 1957, -2, -148, 
1957, 1958, -2, -150, 
1958, 1959, -11, -161, 
1959, 1960, -3, -164, 
1960, 1961, -4, -168, 
1961, 1962, -2, -170, 
1962, 1963, -4, -174, 
1963, 1964, -6, -180, 
1964, 1965, -6, -186, 
1965, 1966, -3, -189, 
1966, 1967, -7, -196, 
1967, 1968, -1, -197, 
1968, 1969, -3, -200, 
1969, 1970, -5, -205, 
1970, 1971, -2, -207, 
1971, 1972, -2, -209, 
1972, 1973, -2, -211, 
1973, 1974, -2, -213, 
1974, 1975, -5, -218, 
1975, 1976, -2, -220, 
1976, 1977, 0, -220, 
1977, 1978, +12, -208, 
1978, 1979, -11, -219, 
1979, 1980, -5, -224, 
1980, 1981, +4, -220, 
1981, 1982, +5, -215, 
1982, 1983, -11, -226, 
1983, 1984, +8, -218, 
1984, 1985, +9, -209, 
1985, 1986, +12, -197, 
1986, 1987, +7, -190, 
1987, 1988, +16, -174, 
1988, 1989, +3, -171, 
1989, 1990, +3, -168, 
1990, 1991, +2, -166, 
1991, 1992, +10, -156, 
1992, 1993, +2, -154, 
1993, 1994, +3, -151, 
1994, 1995, -9, -160, 
1995, 1996, +4, -156, 
1996, 1997, +5, -151, 
1997, 1998, -2, -153, 
1998, 1999, -2, -155, 
1999, 2000, +3.3, -152, 
2000, 2001, -1.75, -153, 
2001, 2002, -0.1, -154, 
