col1,col2,col3,col4
Glacier, Rotfirn (Nord), ,
Community, G�schenen, ,
Canton, UR, ,
Number, , ,
Length (1973), 2.15, ,
Area (1973), 1.26, ,
Coordinates, 675.3, 168.2,
Exposition, NE, ,
  , , ,
Length variation measurements between 1956 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1956, 1957, -8, -8, 
1957, 1958, -26, -34, 
1958, 1959, +12, -22, 
1959, 1960, -4, -26, 
1960, 1961, +8, -18, 
1961, 1963, +12, -6, 
1963, 1964, -6, -12, 
1964, 1965, -10, -22, 
1965, 1966, +4, -18, 
1966, 1967, +14, -4, 
1967, 1968, +10, 6, 
1968, 1969, +9, 15, 
1969, 1970, +4, 19, 
1970, 1971, +6, 25, 
1971, 1972, 1, 26, 
1972, 1973, +6, 32, 
1973, 1974, -6, 26, 
1974, 1975, +4, 30, 
1975, 1976, +4, 34, 
1976, 1977, -6, 28, 
1977, 1978, +3, 31, 
1978, 1979, +4, 35, 
1979, 1980, +9, 44, 
1980, 1982, +36, 80, 
1982, 1983, +10, 90, 
1983, 1984, +2, 92, 
1984, 1985, +4, 96, 
1985, 1986, 0, 96, 
1986, 1987, -4, 92, 
1987, 1988, -1, 91, 
1988, 1989, -6, 85, 
1989, 1990, -7, 78, 
1990, 1991, -5, 73, 
1991, 1992, -12, 61, 
1992, 1994, -9, 52, 
1994, 1995, -11, 41, 
1995, 1996, 1, 42, 
1996, 1997, -7, 35, 
1997, 1998, -13, 22, 
1998, 1999, -10, 12, 
1999, 2000, -12.4, 0, 
2000, 2001, -18.2, -19, 
2001, 2002, -9.2, -28, 
2002, 2003, -41.1, -69, 
2003, 2004, -1.0, -70, 
2004, 2005, -16.7, -87, 
2005, 2006, -16.7, -103, 
2006, 2007, -14.3, -118, 
2007, 2008, -13.3, -131, 
2008, 2009, -12.0, -143, 
2009, 2010, -24.1, -167, 
2010, 2011, -19.2, -186, 
2011, 2012, -33.8, -220, 
2012, 2013, -4.3, -224, 
2013, 2014, -22, -246, 
2014, 2015, -14.3, -261, 
2015, 2016, -20, -281, 
