col1,col2,col3,col4
Glacier, Glacier de Saleina, ,
Community, Orsi�res, ,
Canton, VS, ,
Number, , ,
Length (1973), 6.45, ,
Area (1973), 8.57, ,
Coordinates, 570.4, 91.4,
Exposition, NE, ,
  , , ,
Length variation measurements between 1878 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1878, 1880, -40, -40, 
1888, 1889, -21, -61, 
1891, 1892, +15, -46, 
1892, 1893, +8, -38, 
1893, 1894, -4, -42, 
1894, 1895, -2, -44, 
1895, 1896, +3, -41, 
1896, 1897, -8, -49, 
1897, 1898, -23, -72, 
1898, 1899, -17, -89, 
1899, 1900, -11, -100, 
1900, 1901, -13, -113, 
1901, 1902, -6, -119, 
1902, 1903, -5, -124, 
1903, 1904, -8, -132, 
1904, 1905, -6, -138, 
1905, 1906, -7, -145, 
1906, 1907, -5, -150, 
1907, 1908, -1, -151, 
1908, 1909, -9, -160, 
1909, 1910, -7, -167, 
1910, 1911, -26, -193, 
1911, 1912, -31, -224, 
1912, 1913, -13, -237, 
1913, 1914, -10, -247, 
1914, 1915, -12, -259, 
1915, 1916, +17, -242, 
1916, 1917, +28, -214, 
1917, 1918, +38, -176, 
1918, 1919, +19, -157, 
1919, 1920, +14, -143, 
1920, 1921, +10, -133, 
1921, 1922, +20, -113, 
1922, 1923, -12, -125, 
1923, 1924, -6, -131, 
1924, 1925, +19, -112, 
1925, 1926, +4, -108, 
1926, 1927, -10, -118, 
1927, 1928, +3, -115, 
1928, 1929, -7, -122, 
1929, 1930, -4, -126, 
1930, 1931, -6, -132, 
1931, 1932, 0, -132, 
1932, 1933, -9, -141, 
1933, 1934, -20, -161, 
1934, 1935, -10, -171, 
1935, 1936, -10, -181, 
1936, 1937, -14, -195, 
1937, 1938, -11, -206, 
1938, 1939, -24, -230, 
1939, 1940, -24, -254, 
1940, 1941, -5, -259, 
1941, 1942, -26, -285, 
1942, 1943, -6, -291, 
1943, 1944, -2, -293, 
1944, 1945, 0, -293, 
1945, 1946, -12, -305, 
1946, 1947, -32, -337, 
1947, 1948, -18, -355, 
1948, 1949, -28, -383, 
1949, 1950, -33, -416, 
1950, 1951, -19, -435, 
1951, 1952, -26, -461, 
1952, 1953, -14, -475, 
1953, 1954, -45, -520, 
1954, 1955, -19, -539, 
1955, 1956, -20, -559, 
1956, 1957, -9, -568, 
1957, 1958, -11, -579, 
1958, 1959, -46, -625, 
1959, 1960, -11, -636, 
1960, 1961, -7, -643, 
1961, 1962, -5, -648, 
1962, 1963, -4, -652, 
1963, 1964, -9, -661, 
1964, 1965, 0, -661, 
1965, 1967, +10, -651, 
1967, 1968, +5, -646, 
1968, 1969, +6, -640, 
1969, 1970, +8, -632, 
1970, 1971, +4, -628, 
1971, 1972, +18, -610, 
1972, 1973, +20, -590, 
1973, 1975, +34, -556, 
1975, 1976, +8, -548, 
1976, 1977, +6, -542, 
1977, 1978, +6, -536, 
1978, 1979, +12, -524, 
1979, 1980, +6, -518, 
1980, 1981, +10, -508, 
1981, 1982, +17, -491, 
1982, 1983, +14, -477, 
1983, 1984, +8, -469, 
1984, 1985, +2, -467, 
1985, 1986, +12, -455, 
1986, 1987, +5, -450, 
1987, 1988, +5, -445, 
1988, 1989, 0, -445, 
1989, 1990, -15, -460, 
1990, 1991, -24, -484, 
1991, 1992, -10, -494, 
1992, 1993, -6, -500, 
1993, 1994, -26, -526, 
1994, 1995, -18, -544, 
1995, 1997, -79, -623, 
1997, 1998, -55, -678, 
1998, 1999, -13, -691, 
1999, 2001, -32, -723, 
2001, 2002, -14, -737, 
2002, 2003, -54, -791, 
2003, 2004, -17, -808, 
2004, 2005, -8, -816, 
2005, 2006, -15, -831, 
2006, 2007, -24, -855, 
2007, 2008, -22, -877, 
2008, 2009, -15.5, -893, 
2009, 2010, -25.5, -918, 
2010, 2011, -39.8, -958, 
2011, 2012, -33.2, -991, 
2012, 2013, -33.4, -1024, 
2013, 2014, -29.7, -1054, 
2014, 2015, -29.4, -1084, 
2015, 2016, -3.7, -1087, 
