col1,col2,col3,col4
Glacier, Sankt Annafirn, ,
Community, Hospental, ,
Canton, UR, ,
Number, , ,
Length (1973), 0.75, ,
Area (1973), 0.46, ,
Coordinates, 689.2, 161.5,
Exposition, N, ,
  , , ,
Length variation measurements between 1867 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1867, 1882, -365, -365, 
1923, 1924, 0, -365, 
1926, 1927, 1, -364, 
1927, 1928, -10, -374, 
1928, 1929, -2, -376, 
1929, 1930, -4, -380, 
1930, 1931, +4, -376, 
1931, 1932, +2, -374, 
1932, 1933, -7, -381, 
1933, 1935, -43, -424, 
1935, 1936, -3, -427, 
1936, 1937, -4, -431, 
1937, 1938, -6, -437, 
1938, 1939, -3, -440, 
1939, 1940, 0, -440, 
1940, 1941, -4, -444, 
1941, 1942, -4, -448, 
1942, 1943, -11, -459, 
1943, 1944, +0.5, -459, 
1944, 1945, -2, -461, 
1945, 1946, -3, -464, 
1946, 1947, -6, -470, 
1947, 1948, -27, -497, 
1948, 1949, -9, -506, 
1949, 1950, -15, -521, 
1950, 1951, -2, -523, 
1951, 1952, -32, -555, 
1952, 1953, -10, -565, 
1953, 1954, -30, -595, 
1954, 1955, -2, -597, 
1955, 1956, -20, -617, 
1956, 1957, -11, -628, 
1957, 1958, -8, -636, 
1958, 1959, +4, -632, 
1959, 1960, -15, -647, 
1960, 1961, +21, -626, 
1961, 1962, -6, -632, 
1962, 1963, 0, -632, 
1963, 1964, -7, -639, 
1964, 1965, +4, -635, 
1965, 1966, +15, -620, 
1966, 1967, -8, -628, 
1967, 1968, -1, -629, 
1968, 1969, +13, -616, 
1969, 1970, -21, -637, 
1970, 1971, -9, -646, 
1971, 1972, +2, -644, 
1972, 1973, -22, -666, 
1973, 1974, 0, -666, 
1974, 1975, +8, -658, 
1975, 1976, +4, -654, 
1976, 1977, +4, -650, 
1977, 1978, 1, -649, 
1978, 1979, 0, -649, 
1979, 1980, +2, -647, 
1980, 1982, -4, -651, 
1982, 1983, -4, -655, 
1983, 1985, +2, -653, 
1985, 1986, 0, -653, 
1986, 1987, 0, -653, 
1987, 1988, -2, -655, 
1988, 1989, -3, -658, 
1989, 1991, -12, -670, 
1991, 1992, -5, -675, 
1992, 1994, -7, -682, 
1994, 1995, -1, -683, 
1995, 1997, -3, -686, 
1997, 1999, -16, -702, 
1999, 2000, -11.1, -713, 
2000, 2002, -7.8, -720, 
2002, 2003, -17.9, -738, 
2003, 2004, -7.8, -746, 
2004, 2006, -26.7, -773, 
2006, 2008, -20.2, -793, 
2008, 2009, -6.0, -799, 
2009, 2010, -13.3, -812, 
2010, 2011, -9.1, -821, 
2011, 2012, -13.3, -835, 
2012, 2013, -7.9, -843, 
2013, 2014, -9.2, -852, 
2014, 2015, -12.9, -865, 
2015, 2016, -12.5, -877, 
