col1,col2,col3,col4
Glacier, Sardonagletscher (Chligletscher), ,
Community, Pf�fers, ,
Canton, SG, ,
Number, , ,
Length (1973), 0.70, ,
Area (1973), 0.36, ,
Coordinates, 738.6, 198.6,
Exposition, E, ,
  , , ,
Length variation measurements between 1895 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1895, 1897, +9, 9, 
1897, 1898, -6, 3, 
1899, 1900, -1, 2, 
1900, 1901, 0, 2, 
1901, 1902, 0, 2, 
1902, 1904, -1, 1, 
1904, 1905, 0, 1, 
1905, 1906, 0, 1, 
1906, 1907, 0, 1, 
1907, 1908, -1, 0, 
1908, 1909, +2, 2, 
1909, 1910, +4, 6, 
1910, 1911, -5, 1, 
1911, 1912, +3, 4, 
1912, 1913, +8, 12, 
1913, 1914, +6, 18, 
1914, 1915, -6, 12, 
1915, 1916, +5, 17, 
1916, 1917, 0, 17, 
1917, 1918, -23, -6, 
1918, 1919, +19, 13, 
1919, 1920, -10, 3, 
1920, 1921, -14, -11, 
1921, 1922, 0, -11, 
1922, 1923, +4, -7, 
1923, 1924, -8, -15, 
1924, 1925, -5, -20, 
1925, 1926, +9, -11, 
1926, 1927, -2, -13, 
1927, 1928, -16, -29, 
1928, 1929, -6, -35, 
1929, 1930, -6, -41, 
1930, 1931, +4, -37, 
1931, 1932, -19, -56, 
1932, 1933, -8, -64, 
1933, 1934, -18, -82, 
1934, 1935, -3, -85, 
1937, 1941, +3, -82, 
1941, 1945, -133, -215, 
1945, 1946, -10, -225, 
1946, 1947, -25, -250, 
1947, 1948, +28, -222, 
1948, 1949, -24, -246, 
1949, 1950, -4, -250, 
1950, 1951, -34, -284, 
1951, 1953, +29, -255, 
1953, 1954, -7, -262, 
1954, 1956, -9, -271, 
1956, 1957, 0, -271, 
1957, 1958, -12, -283, 
1958, 1959, -7, -290, 
1959, 1960, -2, -292, 
1960, 1961, 0, -292, 
1961, 1962, +13, -279, 
1962, 1963, -16, -295, 
1963, 1964, -16, -311, 
1964, 1965, +10, -301, 
1965, 1966, +18, -283, 
1966, 1967, +4, -279, 
1967, 1968, +2, -277, 
1968, 1969, -1, -278, 
1969, 1971, -6, -284, 
1971, 1972, 0, -284, 
1972, 1975, +16, -268, 
1975, 1976, -10, -278, 
1976, 1977, +2, -276, 
1977, 1978, +7, -269, 
1978, 1979, -4, -273, 
1979, 1980, +8, -265, 
1980, 1981, +4, -261, 
1981, 1982, -1, -262, 
1982, 1983, -3, -265, 
1983, 1985, +5, -260, 
1985, 1986, -7, -267, 
1986, 1987, +4, -263, 
1987, 1988, -5, -268, 
1988, 1989, -15, -283, 
1989, 1990, -4, -287, 
1990, 1991, -23, -310, 
1991, 1992, -8, -318, 
1992, 1994, -16, -334, 
1994, 1995, +27, -307, 
1995, 1996, -31, -338, 
1996, 1997, -6, -344, 
1997, 1999, +4, -340, 
1999, 2000, +1.1, -339, 
2000, 2002, -0.8, -340, 
2002, 2003, -22.2, -362, 
2003, 2004, -1.4, -363, 
2004, 2005, -7.2, -370, 
2005, 2006, -22.4, -393, 
2006, 2007, -37, -430, 
2007, 2008, -7.6, -437, 
2008, 2009, -2.1, -440, 
2009, 2010, +1.7, -438, 
2010, 2011, -14.6, -452, 
2011, 2012, -0.5, -453, 
2012, 2013, -20, -473, 
2013, 2014, -10.2, -483, 
2014, 2015, -19.4, -503, 
2015, 2016, -8, -511, 
