col1,col2,col3,col4
Glacier, Scalettagletscher, ,
Community, Davos, ,
Canton, GR, ,
Number, , ,
Length (1973), 1.20, ,
Area (1973), 0.66, ,
Coordinates, 792.1, 174.9,
Exposition, NW, ,
  , , ,
Length variation measurements between 1895 and 2012, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1895, 1898, -21, -21, 
1898, 1899, +17, -4, 
1899, 1900, -8, -12, 
1900, 1901, -7, -19, 
1901, 1902, -2, -21, 
1902, 1903, +3, -18, 
1903, 1904, -8, -26, 
1904, 1906, -10, -36, 
1906, 1908, +3, -33, 
1907, 1909, +7, -29, 
1909, 1911, -9, -38, 
1918, 1919, +6, -32, 
1920, 1921, +4, -28, 
1929, 1930, 0, -28, 
1930, 1931, -6, -34, 
1931, 1932, -8, -42, 
1932, 1933, -4, -46, 
1933, 1934, +7, -39, 
1934, 1935, -6, -45, 
1971, 1973, -100, -145, 
1973, 1979, +350, 205, 
1998, 1999, -3, 202, 
1999, 2000, -5, 197, 
2000, 2001, +4.6, 202, 
2000, 2003, -15.5, 182, 
2003, 2004, -3.1, 178, 
2004, 2005, -3.3, 175, 
2005, 2006, -7.4, 168, 
2006, 2007, -19.6, 148, 
2007, 2008, -21.7, 126, 
2008, 2009, -6.3, 120, 
2009, 2010, -4.4, 116, 
2010, 2011, -5.9, 110, 
2011, 2012, -2.5, 107, 
