col1,col2,col3,col4
Glacier, Schwarzgletscher, ,
Community, Leukerbad, ,
Canton, VS, ,
Number, , ,
Length (1973), 3.95, ,
Area (1973), 1.64, ,
Coordinates, 618.2, 141.0,
Exposition, NW, ,
  , , ,
Length variation measurements between 1924 and 2015, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1924, 1925, +1, 1, 
1925, 1926, +6, 7, 
1926, 1927, -2, 5, 
1927, 1928, +4, 9, 
1928, 1929, -4, 5, 
1929, 1930, 0, 5, 
1930, 1931, +2, 7, 
1931, 1932, +1, 8, 
1932, 1933, -2, 6, 
1933, 1934, +10, 16, 
1934, 1935, 0, 16, 
1935, 1936, +3, 19, 
1936, 1937, +2, 21, 
1937, 1938, -2, 19, 
1938, 1939, +10, 29, 
1939, 1941, +16, 45, 
1941, 1942, +4, 49, 
1942, 1944, 0, 49, 
1944, 1946, -3, 46, 
1946, 1947, +2, 48, 
1947, 1948, 0, 48, 
1948, 1949, 0, 48, 
1949, 1950, -4, 44, 
1950, 1951, -7, 37, 
1951, 1952, -5, 32, 
1952, 1953, 0, 32, 
1953, 1954, -4, 28, 
1954, 1955, 0, 28, 
1955, 1956, +1, 29, 
1956, 1957, -1, 28, 
1957, 1958, -2, 26, 
1958, 1960, -2, 24, 
1960, 1961, -1, 23, 
1961, 1962, 0, 23, 
1962, 1963, -1, 22, 
1963, 1964, -5, 17, 
1964, 1965, 0, 17, 
1965, 1966, 0, 17, 
1966, 1967, 0, 17, 
1967, 1968, -2, 15, 
1968, 1969, -1, 14, 
1969, 1970, -1, 13, 
1970, 1971, -4, 9, 
1971, 1972, -2, 7, 
1972, 1973, -6, 1, 
1973, 1974, -2, -1, 
1974, 1975, 0, -1, 
1975, 1976, -4, -5, 
1976, 1977, +2, -3, 
1977, 1978, 0, -3, 
1978, 1979, -6, -9, 
1979, 1980, +2, -7, 
1980, 1981, -2.8, -10, 
1981, 1982, -14, -24, 
1982, 1983, -2, -26, 
1983, 1984, -4, -30, 
1984, 1985, -2, -32, 
1985, 1986, -10, -42, 
1986, 1987, -38, -80, 
1987, 1988, -8, -88, 
1988, 1989, -13, -101, 
1989, 1990, -17, -118, 
1990, 1991, -8, -126, 
1991, 1992, -3, -129, 
1992, 1993, -11, -140, 
1993, 1994, -38.3, -178, 
1994, 1995, -1, -179, 
1995, 1996, -6, -185, 
1996, 1997, -1, -186, 
1997, 1998, -8, -194, 
1998, 1999, -10, -204, 
2001, 2002, -6.4, -210, 
2002, 2003, -1.2, -212, 
2003, 2004, -20, -232, 
2004, 2005, -24.0, -256, 
2005, 2006, -2.9, -259, 
2006, 2008, -12.3, -271, 
2008, 2009, -6.2, -277, 
2009, 2010, -2.8, -280, 
2010, 2011, -5.6, -285, 
2011, 2012, -8.3, -294, 
2012, 2014, -959, -1253, 
2014, 2015, -100, -1353, 
