col1,col2,col3,col4
Glacier, Schwarzberggletscher, ,
Community, Saas Almagell, ,
Canton, VS, ,
Number, , ,
Length (1973), 3.75, ,
Area (1973), 6.09, ,
Coordinates, 638.0, 96.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1880 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1880, 1909, +150, 150, 
1909, 1915, -140, 10, 
1918, 1919, +52, 62, 
1919, 1920, +70, 132, 
1923, 1924, +10, 142, 
1924, 1925, 0, 142, 
1925, 1926, -110, 32, 
1926, 1927, -28, 4, 
1927, 1928, -22, -18, 
1928, 1931, -35, -53, 
1931, 1932, -22, -75, 
1932, 1933, -16, -91, 
1933, 1934, -16, -107, 
1934, 1935, -52, -159, 
1935, 1936, 0, -159, 
1936, 1937, -22, -181, 
1937, 1938, -17, -198, 
1938, 1939, -8, -206, 
1945, 1946, -12, -218, 
1946, 1947, -38, -256, 
1947, 1948, -4, -260, 
1948, 1949, -42, -302, 
1949, 1950, -20, -322, 
1950, 1951, -10, -332, 
1951, 1952, -6, -338, 
1952, 1953, -12, -350, 
1953, 1954, -8, -358, 
1954, 1955, -18, -376, 
1955, 1956, -9, -385, 
1956, 1957, -8, -393, 
1957, 1958, -10, -403, 
1958, 1959, -6, -409, 
1959, 1962, -5, -414, 
1962, 1963, -20, -434, 
1963, 1964, -8, -442, 
1964, 1965, -4, -446, 
1965, 1966, -4, -450, 
1966, 1967, -3, -453, 
1967, 1968, -6, -459, 
1968, 1969, 0, -459, 
1969, 1970, -5, -464, 
1970, 1971, -2, -466, 
1971, 1972, +5, -461, 
1972, 1973, -6, -467, 
1973, 1974, -1, -468, 
1974, 1975, +8, -460, 
1975, 1976, -2, -462, 
1976, 1977, +13, -449, 
1977, 1978, +14, -435, 
1978, 1979, +10, -425, 
1979, 1980, +17, -408, 
1980, 1981, +10, -398, 
1981, 1982, +8, -390, 
1982, 1983, +4, -386, 
1983, 1984, +3, -383, 
1984, 1985, -2, -385, 
1985, 1986, +3, -382, 
1986, 1987, -1, -383, 
1987, 1988, 0, -383, 
1988, 1989, +6, -377, 
1989, 1990, +2, -375, 
1990, 1991, +6, -369, 
1991, 1992, -5, -374, 
1992, 1995, -10, -384, 
1995, 1996, -5, -389, 
1996, 1997, -12, -401, 
1997, 1999, -13, -414, 
1999, 2000, -11, -425, 
2000, 2001, -20, -445, 
2001, 2002, -15, -460, 
2002, 2003, -12, -472, 
2003, 2004, -13, -485, 
2004, 2005, -19, -504, 
2005, 2006, -11, -515, 
2006, 2007, -11, -526, 
2007, 2008, -13, -539, 
2008, 2009, -17.0, -556, 
2009, 2010, -10.1, -566, 
2010, 2011, -6.0, -572, 
2011, 2012, -51.4, -624, 
2012, 2013, -25.6, -649, 
2013, 2014, -16.4, -666, 
2014, 2015, -22.8, -688, 
2015, 2016, -28.1, -716, 
