col1,col2,col3,col4
Glacier, Seewjinen Gletscher, ,
Community, Saas Almagell, ,
Canton, VS, ,
Number, , ,
Length (1973), 2.00, ,
Area (1973), 1.70, ,
Coordinates, 639.5, 94.5,
Exposition, NE, ,
  , , ,
Length variation measurements between 1997 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1997, 1999, -32, -32, 
1999, 2000, -81.5, -114, 
2000, 2002, -6.5, -120, 
2002, 2003, -8.5, -129, 
2003, 2004, -8.5, -137, 
2004, 2005, -21, -158, 
2005, 2006, -11.5, -170, 
2006, 2007, -3.5, -173, 
2007, 2008, -23, -196, 
2008, 2009, -2.4, -198, 
2009, 2010, -7.7, -206, 
2010, 2011, -6.5, -213, 
2011, 2012, -10.5, -223, 
2013, 2014, -1.0, -224, 
2014, 2015, -12.8, -237, 
2015, 2016, -6.7, -244, 
