col1,col2,col3,col4
Glacier, Vadret da Sesvenna, ,
Community, Scuol, ,
Canton, GR, ,
Number, , ,
Length (1973), 1.20, ,
Area (1973), 0.79, ,
Coordinates, 827.3, 177.6,
Exposition, N, ,
  , , ,
Length variation measurements between 1956 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1956, 1957, -4, -4, 
1957, 1958, -8, -12, 
1958, 1959, -6, -18, 
1959, 1961, -3, -21, 
1961, 1962, -8, -29, 
1962, 1963, -7, -36, 
1963, 1964, -6, -42, 
1964, 1966, -20, -62, 
1966, 1967, +20, -42, 
1967, 1968, 0, -42, 
1968, 1969, -18, -60, 
1969, 1970, -7, -67, 
1970, 1971, -10, -77, 
1971, 1972, +3, -74, 
1972, 1973, -5, -79, 
1973, 1974, -4, -83, 
1974, 1975, 0, -83, 
1975, 1976, -2, -85, 
1976, 1977, +2, -83, 
1977, 1978, +2, -81, 
1978, 1979, -7, -88, 
1979, 1980, 0, -88, 
1980, 1981, -3, -91, 
1981, 1982, -5, -96, 
1982, 1983, -3, -99, 
1983, 1984, -2, -101, 
1984, 1985, -1, -102, 
1985, 1986, -6, -108, 
1986, 1987, -6, -114, 
1987, 1988, -6, -120, 
1988, 1989, -2, -122, 
1989, 1990, -4, -126, 
1990, 1991, -7, -133, 
1991, 1992, -5, -138, 
1992, 1993, -6, -144, 
1993, 1994, -9, -153, 
1994, 1995, -2, -155, 
1995, 1996, -4, -159, 
1996, 1997, -7, -166, 
1997, 1998, -6, -172, 
1998, 1999, -7, -179, 
1999, 2000, -1.7, -181, 
2000, 2001, -8.0, -189, 
2001, 2003, -74.1, -263, 
2003, 2004, -6.8, -270, 
2004, 2006, -20.7, -290, 
2006, 2007, -10.2, -301, 
2007, 2008, -7.7, -308, 
2008, 2009, -4.9, -313, 
2009, 2010, -8.4, -322, 
2010, 2011, -8.4, -330, 
2011, 2012, -10.6, -341, 
2012, 2013, -7.3, -348, 
2013, 2014, -5.5, -353, 
2014, 2015, -15.0, -368, 
2015, 2016, -13.8, -382, 
