col1,col2,col3,col4
Glacier, Glacier du Sex Rouge, ,
Community, Ormont-Dessus, ,
Canton, VD, ,
Number, , ,
Length (1973), 0.90, ,
Area (1973), 0.69, ,
Coordinates, 582.7, 130.7,
Exposition, NW, ,
  , , ,
Length variation measurements between 1898 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1898, 1899, +8, 8, 
1899, 1900, -13, -5, 
1900, 1901, +13, 8, 
1901, 1902, +11, 19, 
1902, 1903, +4, 23, 
1903, 1904, -17, 6, 
1904, 1906, +5, 11, 
1906, 1907, +8, 19, 
1907, 1908, +1, 20, 
1908, 1909, +2, 22, 
1909, 1910, +9, 31, 
1910, 1911, -11, 20, 
1911, 1913, +9, 29, 
1913, 1915, +5, 34, 
1915, 1916, +3, 37, 
1916, 1917, -6, 31, 
1917, 1919, +2, 33, 
1919, 1920, -3, 30, 
1920, 1921, -15, 15, 
1921, 1923, 0, 15, 
1924, 1925, 0, 15, 
1926, 1927, +1, 16, 
1927, 1928, -6, 10, 
1928, 1929, -27, -17, 
1929, 1930, +30, 13, 
1930, 1931, -14, -1, 
1931, 1932, -4, -5, 
1932, 1933, +7, 2, 
1933, 1934, -7, -5, 
1934, 1935, +1, -4, 
1935, 1937, +5, 1, 
1937, 1938, +10, 11, 
1938, 1939, 0, 11, 
1940, 1941, +37, 48, 
1941, 1944, -90, -42, 
1944, 1946, +88, 46, 
1946, 1947, -91, -45, 
1947, 1949, +3, -42, 
1949, 1950, -15, -57, 
1950, 1951, +22, -35, 
1951, 1952, +15, -20, 
1952, 1954, +73, 53, 
1954, 1955, +2, 55, 
1955, 1956, 0, 55, 
1956, 1957, -3, 52, 
1957, 1958, -1, 51, 
1958, 1959, -4, 47, 
1959, 1960, +6, 53, 
1960, 1961, -4, 49, 
1961, 1962, 0, 49, 
1962, 1963, 0, 49, 
1963, 1964, -25, 24, 
1964, 1965, +15, 39, 
1965, 1966, 0, 39, 
1966, 1967, -2, 37, 
1967, 1968, +3, 40, 
1968, 1969, 0, 40, 
1969, 1970, +6, 46, 
1970, 1971, -6, 40, 
1971, 1972, -7, 33, 
1972, 1975, +3, 36, 
1975, 1976, -7, 29, 
1976, 1977, +3, 32, 
1977, 1978, +3, 35, 
1978, 1979, 0, 35, 
1979, 1980, +1, 36, 
1980, 1981, -1, 35, 
1981, 1982, -10, 25, 
1982, 1983, +1, 26, 
1983, 1984, -3, 23, 
1984, 1985, -1, 22, 
1985, 1986, -6, 16, 
1986, 1987, +6, 22, 
1987, 1988, -8, 14, 
1988, 1989, -14.4, 0, 
1989, 1990, -14.1, -15, 
1990, 1991, -21.7, -36, 
1991, 2001, +62, 26, 
2001, 2002, -5.5, 20, 
2002, 2003, -6.4, 14, 
2003, 2004, +3.1, 17, 
2004, 2005, -5.5, 11, 
2005, 2006, -1.5, 10, 
2006, 2007, -0.6, 9, 
2007, 2009, -4.2, 5, 
2009, 2011, -0.2, 5, 
2011, 2012, -2.9, 2, 
2012, 2013, 1.1, 3, 
2013, 2014, +1.1, 4, 
2014, 2015, -4.2, 0, 
2015, 2016, +2.7, 3, 
