col1,col2,col3,col4
Glacier, Steingletscher, ,
Community, Gadmen, ,
Canton, BE, ,
Number, , ,
Length (1973), 4.20, ,
Area (1973), 6.06, ,
Coordinates, 676.0, 172.5,
Exposition, N, ,
  , , ,
Length variation measurements between 1893 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, +4, 4, 
1894, 1895, -7, -3, 
1895, 1896, -1, -4, 
1896, 1897, +3, -1, 
1897, 1898, -12, -13, 
1898, 1899, -8, -21, 
1899, 1900, +2, -19, 
1900, 1901, -4, -23, 
1901, 1902, +6, -17, 
1902, 1903, -6, -23, 
1903, 1904, -13, -36, 
1904, 1905, 0, -36, 
1905, 1906, -15, -51, 
1906, 1907, 0, -51, 
1907, 1908, +6, -45, 
1908, 1909, -3, -48, 
1909, 1910, +3, -45, 
1910, 1911, -11, -56, 
1911, 1912, +3, -53, 
1912, 1913, +9, -44, 
1913, 1914, +6, -38, 
1914, 1915, +9, -29, 
1915, 1916, +14, -15, 
1916, 1917, +12, -3, 
1917, 1918, -6, -9, 
1918, 1919, +6, -3, 
1919, 1920, +8, 5, 
1920, 1921, +3, 8, 
1921, 1922, 0, 8, 
1922, 1923, 0, 8, 
1923, 1924, -3, 5, 
1924, 1925, -9, -4, 
1925, 1926, -5, -9, 
1926, 1927, -2, -11, 
1927, 1928, -14, -25, 
1928, 1929, -4, -29, 
1929, 1930, -2, -31, 
1930, 1931, 0, -31, 
1931, 1932, -12, -43, 
1932, 1933, -9, -52, 
1933, 1934, -14, -66, 
1934, 1935, -16, -82, 
1935, 1936, 0, -82, 
1936, 1937, -10, -92, 
1937, 1938, -29, -121, 
1938, 1939, -43, -164, 
1939, 1940, -11, -175, 
1940, 1941, -4, -179, 
1941, 1942, -3, -182, 
1942, 1943, 0, -182, 
1943, 1944, 0, -182, 
1944, 1945, 0, -182, 
1945, 1946, 0, -182, 
1946, 1947, 0, -182, 
1947, 1948, 0, -182, 
1948, 1949, 0, -182, 
1950, 1951, 0, -182, 
1952, 1953, 0, -182, 
1953, 1954, -20, -202, 
1954, 1955, -17, -219, 
1955, 1956, -12, -231, 
1956, 1957, -8, -239, 
1957, 1958, -7, -246, 
1958, 1959, -22, -268, 
1959, 1960, -6, -274, 
1960, 1961, -20, -294, 
1961, 1962, -18, -312, 
1962, 1963, -12, -324, 
1963, 1964, -32, -356, 
1964, 1965, -6, -362, 
1965, 1966, -9, -371, 
1966, 1967, -1, -372, 
1967, 1968, 0, -372, 
1968, 1969, 0, -372, 
1969, 1970, +7, -365, 
1970, 1971, +9, -356, 
1971, 1972, +15, -341, 
1972, 1973, +10, -331, 
1973, 1975, +37, -294, 
1975, 1976, +6, -288, 
1976, 1977, +7, -281, 
1977, 1978, +22, -259, 
1978, 1979, +12, -247, 
1979, 1980, +15, -232, 
1980, 1981, +17, -215, 
1981, 1982, +20, -195, 
1982, 1983, +40, -155, 
1983, 1984, +20, -135, 
1984, 1985, +2, -133, 
1985, 1986, +9, -124, 
1986, 1987, +5, -119, 
1987, 1988, +6, -113, 
1988, 1989, +3, -110, 
1989, 1990, -2, -112, 
1990, 1991, -5, -117, 
1991, 1992, -7, -124, 
1992, 1993, -6, -130, 
1993, 1994, -15, -145, 
1994, 1995, -12, -157, 
1995, 1996, -6, -163, 
1996, 1997, -11, -174, 
1997, 1998, -1, -175, 
1998, 1999, -6, -181, 
1999, 2000, -16, -197, 
2000, 2001, -14, -211, 
2001, 2002, -18, -229, 
2002, 2003, -27, -256, 
2003, 2004, -32, -288, 
2004, 2005, -52, -340, 
2005, 2006, -45, -385, 
2006, 2007, -14, -399, 
2007, 2008, -20, -419, 
2008, 2009, -28, -447, 
2009, 2010, -122, -569, 
2010, 2011, -155, -724, 
2011, 2012, -72, -796, 
2012, 2013, -54, -850, 
2013, 2014, -88, -938, 
2014, 2015, -99, -1037, 
2015, 2016, -28.5, -1066, 
