col1,col2,col3,col4
Glacier, Steinlimigletscher, ,
Community, Gadmen, ,
Canton, BE, ,
Number, , ,
Length (1973), 2.80, ,
Area (1973), 2.29, ,
Coordinates, 674.0, 173.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1961 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1961, 1962, -8, -8, 
1962, 1963, -11, -19, 
1963, 1964, -32, -51, 
1964, 1965, -1, -52, 
1965, 1966, 0, -52, 
1966, 1967, -1, -53, 
1967, 1968, 0, -53, 
1968, 1969, -5, -58, 
1969, 1970, 0, -58, 
1970, 1971, -3, -61, 
1971, 1972, -4, -65, 
1972, 1973, -7, -72, 
1973, 1975, +8, -64, 
1975, 1976, -17, -81, 
1976, 1977, +2, -79, 
1977, 1978, +61, -18, 
1978, 1979, -56, -74, 
1979, 1980, +5, -69, 
1980, 1981, +6, -63, 
1981, 1982, 0, -63, 
1982, 1983, 1, -62, 
1983, 1984, +4, -58, 
1984, 1985, 0, -58, 
1985, 1986, -3, -61, 
1986, 1987, -2, -63, 
1987, 1988, -2, -65, 
1988, 1989, -8, -73, 
1989, 1990, -4, -77, 
1990, 1991, -12, -89, 
1991, 1992, -11, -100, 
1992, 1993, -10, -110, 
1993, 1994, -18, -128, 
1994, 1995, -3, -131, 
1995, 1996, -18, -149, 
1996, 1997, -9, -158, 
1997, 1998, -27, -185, 
1998, 1999, -3, -188, 
1999, 2000, -15, -203, 
2000, 2001, -18, -221, 
2001, 2002, -18, -239, 
2002, 2003, -34.5, -274, 
2003, 2004, -8, -282, 
2004, 2005, -59.5, -341, 
2005, 2006, -27, -368, 
2006, 2007, -14, -382, 
2007, 2008, -23, -405, 
2008, 2009, -19, -424, 
2009, 2010, -51, -475, 
2010, 2011, -28, -503, 
2011, 2012, -842, -1345, 
2013, 2014, -88.5, -1434, 
2014, 2015, -39, -1473, 
2015, 2016, -42, -1515, 
