col1,col2,col3,col4
Glacier, Hintersulzfirn, ,
Community, Linthal, ,
Canton, GL, ,
Number, , ,
Length (1973), 0.40, ,
Area (1973), 0.19, ,
Coordinates, 722.2, 192.9,
Exposition, N, ,
  , , ,
Length variation measurements between 1912 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1912, 1913, -13, -13, 
1913, 1917, +16, 3, 
1918, 1919, +13, 16, 
1919, 1921, -10, 6, 
1921, 1923, +3, 9, 
1923, 1926, +3, 12, 
1926, 1928, -2, 10, 
1928, 1929, 0, 10, 
1929, 1930, -6, 4, 
1930, 1931, 0, 4, 
1931, 1932, -2, 2, 
1932, 1933, +2, 4, 
1933, 1934, -2, 2, 
1934, 1935, +2, 4, 
1935, 1936, -6, -2, 
1936, 1937, -6, -8, 
1937, 1938, -2, -10, 
1938, 1940, -9, -19, 
1940, 1941, +6, -13, 
1941, 1943, -10, -23, 
1944, 1945, 0, -23, 
1945, 1946, -6, -29, 
1946, 1947, -6, -35, 
1947, 1948, +3, -32, 
1948, 1950, -16, -48, 
1950, 1951, 0, -48, 
1951, 1952, -1, -49, 
1954, 1955, +4, -45, 
1956, 1957, +2, -43, 
1957, 1958, -7, -50, 
1958, 1960, +6, -44, 
1960, 1961, 0, -44, 
1961, 1962, +2, -42, 
1962, 1963, 0, -42, 
1963, 1964, -7, -49, 
1964, 1965, 1, -48, 
1965, 1966, +5, -43, 
1966, 1967, +3, -40, 
1967, 1968, +12, -28, 
1968, 1969, +2, -26, 
1969, 1970, +2, -24, 
1970, 1971, 1, -23, 
1971, 1972, +4, -19, 
1972, 1975, -4, -23, 
1975, 1976, +4, -19, 
1976, 1977, -2, -21, 
1977, 1978, +14, -7, 
1978, 1979, -2, -9, 
1979, 1980, +4, -5, 
1980, 1981, +6, 1, 
1981, 1982, -10, -9, 
1982, 1983, -4, -13, 
1983, 1984, +13, 0, 
1984, 1985, -7, -7, 
1985, 1986, -1, -8, 
1986, 1987, -4, -12, 
1987, 1988, -3, -15, 
1988, 1989, -4, -19, 
1989, 1991, -10, -29, 
1991, 1992, -5, -34, 
1992, 1995, -22, -56, 
1995, 1996, -3, -59, 
1996, 1997, -2, -61, 
1997, 1998, -9, -70, 
1998, 1999, -4, -74, 
1999, 2000, +4.4, -70, 
2000, 2001, -9.3, -79, 
2001, 2003, -16.5, -95, 
2003, 2004, +1.5, -94, 
2004, 2005, +0.5, -93, 
2005, 2006, -2.1, -96, 
2006, 2007, -6.5, -102, 
2007, 2008, -3.8, -106, 
2008, 2009, -7.6, -113, 
2009, 2010, -1.6, -115, 
2010, 2011, -2.6, -118, 
2011, 2012, -2.1, -120, 
2012, 2013, 3.0, -117, 
2013, 2014, -8.2, -125, 
2014, 2015, +5.9, -119, 
2015, 2016, -5.9, -125, 
