col1,col2,col3,col4
Glacier, Surettagletscher, ,
Community, Sufers, ,
Canton, GR, ,
Number, , ,
Length (1973), 1.65, ,
Area (1973), 1.15, ,
Coordinates, 748.0, 153.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1942 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1942, 1943, -14, -14, 
1943, 1945, -17, -31, 
1945, 1946, -2, -33, 
1946, 1948, 0, -33, 
1948, 1949, -23, -56, 
1949, 1950, -20, -76, 
1950, 1951, +145, 69, 
1951, 1953, -72, -3, 
1953, 1954, -17, -20, 
1954, 1955, +23, 3, 
1955, 1956, -8, -5, 
1956, 1957, -51, -56, 
1957, 1958, -16, -72, 
1958, 1959, -16, -88, 
1959, 1962, +55, -33, 
1962, 1963, -40, -73, 
1963, 1965, -9, -82, 
1965, 1966, +44, -38, 
1966, 1967, +10, -28, 
1967, 1968, +58, 30, 
1968, 1969, -38, -8, 
1969, 1970, -27, -35, 
1970, 1971, -49, -84, 
1971, 1972, +30, -54, 
1972, 1973, -53, -107, 
1973, 1974, +12, -95, 
1974, 1975, +147, 52, 
1975, 1976, -128, -76, 
1976, 1977, +71, -5, 
1977, 1978, -14, -19, 
1978, 1979, +14, -5, 
1979, 1980, -50, -55, 
1980, 1981, -22, -77, 
1981, 1982, +4, -73, 
1982, 1983, -31, -104, 
1983, 1984, +15, -89, 
1984, 1985, +33, -56, 
1985, 1986, +29, -27, 
1986, 1987, -78, -105, 
1987, 1988, -33, -138, 
1988, 1989, -16, -154, 
1989, 1990, -32, -186, 
1990, 1991, +48, -138, 
1991, 1992, -43, -181, 
1992, 1993, -38, -219, 
1993, 1994, +70, -149, 
1994, 1995, -14, -163, 
1995, 1996, -35, -198, 
1996, 1997, -14, -212, 
1997, 1998, 0, -212, 
1998, 1999, 0, -212, 
1999, 2000, -12, -224, 
2000, 2001, +103.2, -121, 
2001, 2002, -93.8, -215, 
2002, 2003, -8.2, -223, 
2003, 2004, -58.5, -281, 
2004, 2005, -54.6, -336, 
2005, 2006, -725, -1061, 
2006, 2007, -20, -1081, 
2007, 2008, -2.1, -1083, 
2008, 2009, +0.4, -1083, 
2009, 2010, +0.7, -1082, 
2010, 2011, -2.0, -1084, 
2011, 2012, -17.8, -1102, 
2012, 2013, 11.4, -1090, 
2013, 2014, -9, -1099, 
2014, 2015, +0.4, -1099, 
2015, 2016, -0.4, -1099, 
