col1,col2,col3,col4
Glacier, Tällibodengletscher, ,
Community, Saas Almagell, ,
Canton, VS, ,
Number, , ,
Length (1973), 0.75, ,
Area (1973), 0.26, ,
Coordinates, 642.6, 94.5,
Exposition, NW, ,
  , , ,
Length variation measurements between 1922 and 1992, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1922, 1923, 0, 0, 
1923, 1924, -2, -2, 
1924, 1925, 0, -2, 
1925, 1926, 0, -2, 
1927, 1928, -6, -8, 
1928, 1929, -2, -10, 
1929, 1931, -25, -35, 
1931, 1932, -11, -46, 
1932, 1933, -16, -62, 
1933, 1934, -4, -66, 
1934, 1940, -33, -99, 
1940, 1943, -73, -172, 
1943, 1945, +6, -166, 
1945, 1946, +5, -161, 
1946, 1947, -24, -185, 
1947, 1948, -4, -189, 
1948, 1949, -20, -209, 
1949, 1950, -18, -227, 
1950, 1951, 0, -227, 
1951, 1952, -14, -241, 
1952, 1953, -23, -264, 
1953, 1954, -10, -274, 
1954, 1955, -9, -283, 
1955, 1956, +2, -281, 
1956, 1957, -10, -291, 
1957, 1958, 0, -291, 
1958, 1959, 0, -291, 
1959, 1961, +5, -286, 
1961, 1962, -3, -289, 
1962, 1964, -7, -296, 
1964, 1966, +5, -291, 
1966, 1967, -6, -297, 
1967, 1968, -3, -300, 
1968, 1969, 0, -300, 
1969, 1970, -3, -303, 
1970, 1973, -3, -306, 
1973, 1974, 0, -306, 
1974, 1975, +9, -297, 
1975, 1976, -22, -319, 
1976, 1977, 0, -319, 
1977, 1978, 0, -319, 
1978, 1979, 0, -319, 
1979, 1980, +87, -232, 
1980, 1981, -53, -285, 
1981, 1982, -13, -298, 
1982, 1983, +11, -287, 
1983, 1984, 0, -287, 
1984, 1985, -9, -296, 
1985, 1986, +8, -288, 
1986, 1987, -33, -321, 
1987, 1988, -16, -337, 
1988, 1989, -12, -349, 
1989, 1990, -8, -357, 
1990, 1991, -8, -365, 
1991, 1992, -2, -367, 
