col1,col2,col3,col4
Glacier, Vadret Tiatscha (La Cudera), ,
Community, Lavin, ,
Canton, GR, ,
Number, , ,
Length (1973), 2.05, ,
Area (1973), 2.07, ,
Coordinates, 802.5, 191.0,
Exposition, S, ,
  , , ,
Length variation measurements between 1850 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1850, 1894, -800, -800, 
1926, 1927, -30, -1010, 
1927, 1928, +57, -953, 
1928, 1929, -60, -1013, 
1929, 1930, -4, -1017, 
1930, 1931, -2, -1019, 
1931, 1932, -7, -1026, 
1932, 1933, -9, -1035, 
1933, 1934, -20, -1055, 
1934, 1935, +20, -1035, 
1935, 1938, -8, -1043, 
1938, 1940, +13, -1030, 
1940, 1941, -32, -1062, 
1941, 1942, -18, -1080, 
1942, 1943, -24, -1104, 
1943, 1944, +2, -1102, 
1944, 1945, -51, -1153, 
1945, 1946, -9, -1162, 
1946, 1947, -30, -1192, 
1951, 1952, -10, -1202, 
1952, 1953, -12, -1214, 
1953, 1954, -17, -1231, 
1954, 1955, -3, -1234, 
1955, 1956, -3, -1237, 
1956, 1957, +10, -1227, 
1957, 1958, -14, -1241, 
1958, 1959, +14, -1227, 
1959, 1961, -19, -1246, 
1961, 1962, -15, -1261, 
1962, 1963, -9, -1270, 
1963, 1965, -120, -1390, 
1965, 1966, -5, -1395, 
1966, 1967, -1, -1396, 
1967, 1968, 0, -1396, 
1968, 1969, -2, -1398, 
1969, 1970, 0, -1398, 
1970, 1971, -5, -1403, 
1971, 1972, +2, -1401, 
1972, 1974, +15, -1386, 
1974, 1975, +1, -1385, 
1975, 1976, 0, -1385, 
1976, 1977, +1, -1384, 
1977, 1978, +4, -1380, 
1978, 1979, +4, -1376, 
1979, 1980, +10, -1366, 
1980, 1981, +7, -1359, 
1981, 1982, +33, -1326, 
1982, 1983, -5, -1331, 
1983, 1984, -8, -1339, 
1984, 1985, +14, -1325, 
1985, 1986, -2, -1327, 
1986, 1987, -2, -1329, 
1987, 1988, +4, -1325, 
1988, 1989, +1, -1324, 
1989, 1990, 0, -1324, 
1990, 1991, -10, -1334, 
1991, 1992, -13, -1347, 
1992, 1993, -2, -1349, 
1993, 1994, -1, -1350, 
1994, 1995, 0, -1350, 
1995, 1996, -15, -1365, 
1996, 1997, +8, -1357, 
1997, 1998, -13, -1370, 
1998, 1999, -18, -1388, 
1999, 2000, -18.9, -1407, 
2000, 2001, +13.2, -1394, 
2001, 2002, -21.5, -1415, 
2002, 2003, -15, -1430, 
2000, 2006, -249.5, -1656, 
2006, 2007, -12.4, -1669, 
2007, 2008, -4.6, -1673, 
2008, 2009, +1.4, -1672, 
2009, 2010, -7.0, -1679, 
2010, 2011, -1.6, -1681, 
2011, 2012, -10.9, -1692, 
2012, 2013, -42.5, -1734, 
2013, 2014, -36.1, -1770, 
2014, 2015, -0.5, -1771, 
2015, 2016, -21.7, -1792, 
