col1,col2,col3,col4
Glacier, Tiefengletscher, ,
Community, Realp, ,
Canton, UR, ,
Number, , ,
Length (1973), 2.95, ,
Area (1973), 3.16, ,
Coordinates, 676.5, 162.5,
Exposition, SE, ,
  , , ,
Length variation measurements between 1922 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1922, 1923, 0, 0, 
1926, 1927, +8, 8, 
1927, 1928, -5, 3, 
1928, 1929, -10, -7, 
1929, 1930, -2, -9, 
1930, 1931, -4, -13, 
1931, 1932, -1, -14, 
1932, 1933, +6, -8, 
1933, 1934, -23, -31, 
1934, 1935, -5, -36, 
1935, 1936, -6, -42, 
1936, 1937, -7, -49, 
1937, 1938, -6, -55, 
1938, 1939, -4, -59, 
1939, 1940, -1, -60, 
1940, 1941, -4, -64, 
1941, 1942, -10, -74, 
1942, 1943, -13, -87, 
1943, 1944, -15.5, -103, 
1944, 1945, -5, -108, 
1945, 1947, -11, -119, 
1947, 1948, -12, -131, 
1948, 1949, -15, -146, 
1949, 1950, -12, -158, 
1950, 1951, -15, -173, 
1951, 1952, -11, -184, 
1952, 1953, -18, -202, 
1953, 1954, -22, -224, 
1954, 1955, +10, -214, 
1955, 1956, -13, -227, 
1956, 1957, -12, -239, 
1957, 1958, -6, -245, 
1958, 1959, -16, -261, 
1959, 1960, -18, -279, 
1960, 1961, +10, -269, 
1961, 1962, -37, -306, 
1962, 1963, -9, -315, 
1963, 1964, -20, -335, 
1964, 1965, -20, -355, 
1965, 1966, +3, -352, 
1966, 1967, -16, -368, 
1967, 1968, -6, -374, 
1968, 1969, -13, -387, 
1969, 1970, -10, -397, 
1970, 1971, -13, -410, 
1971, 1972, -13, -423, 
1972, 1973, -14, -437, 
1973, 1974, +4, -433, 
1974, 1975, +3, -430, 
1975, 1976, -7, -437, 
1976, 1977, +5, -432, 
1977, 1978, +4, -428, 
1978, 1979, -8, -436, 
1979, 1980, +4, -432, 
1980, 1981, 1, -431, 
1981, 1982, +2, -429, 
1982, 1983, -6, -435, 
1983, 1985, -4, -439, 
1985, 1986, -3, -442, 
1986, 1987, -4, -446, 
1987, 1988, -6, -452, 
1988, 1989, -10, -462, 
1989, 1990, -12, -474, 
1990, 1991, -14, -488, 
1991, 1992, -7, -495, 
1992, 1994, -20, -515, 
1994, 1995, +3, -512, 
1995, 1996, -14, -526, 
1996, 1997, -11, -537, 
1997, 1999, -20, -557, 
1999, 2000, -16.6, -573, 
2000, 2001, -7.45, -581, 
2001, 2002, -15.3, -596, 
2002, 2003, -22.1, -618, 
2003, 2004, -6.8, -625, 
2004, 2005, -19.8, -645, 
2005, 2006, -14.1, -659, 
2006, 2007, -19.3, -678, 
2007, 2008, -31.8, -710, 
2008, 2009, -15.7, -725, 
2009, 2010, -16.4, -742, 
2010, 2011, -26.9, -769, 
2011, 2012, -41.7, -810, 
2012, 2013, -29.1, -840, 
2013, 2014, -29.5, -869, 
2014, 2015, -36.5, -906, 
2015, 2016, -22.5, -928, 
