col1,col2,col3,col4
Glacier, Glacier du Trient, ,
Community, Trient, ,
Canton, VS, ,
Number, , ,
Length (1973), 4.90, ,
Area (1973), 6.40, ,
Coordinates, 568.3, 95.1,
Exposition, N, ,
  , , ,
Length variation measurements between 1879 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1879, 1880, +14, 14, 
1880, 1881, -10, 4, 
1881, 1882, +4, 8, 
1882, 1883, +10, 18, 
1883, 1884, +10, 28, 
1884, 1885, +12, 40, 
1885, 1886, +19, 59, 
1886, 1887, +20, 79, 
1887, 1888, +20, 99, 
1888, 1889, +11, 110, 
1889, 1890, +12, 122, 
1890, 1891, +17, 139, 
1891, 1892, +15, 154, 
1892, 1893, +12, 166, 
1893, 1894, +8, 174, 
1894, 1895, +2, 176, 
1895, 1896, 0, 176, 
1896, 1897, -1, 175, 
1897, 1898, -13, 162, 
1898, 1899, -7, 155, 
1899, 1900, -6, 149, 
1900, 1901, -7, 142, 
1901, 1902, -5, 137, 
1902, 1903, -10, 127, 
1903, 1904, -18, 109, 
1904, 1905, -24, 85, 
1905, 1906, -18, 67, 
1906, 1907, -21, 46, 
1907, 1908, -27, 19, 
1908, 1909, -14, 5, 
1909, 1910, -7, -2, 
1910, 1911, -16, -18, 
1911, 1913, -11, -29, 
1913, 1914, -8, -37, 
1914, 1915, 0, -37, 
1915, 1916, +15, -22, 
1916, 1917, +26, 4, 
1917, 1918, +27, 31, 
1918, 1919, +31, 62, 
1919, 1920, +24, 86, 
1920, 1921, +20, 106, 
1921, 1922, +6, 112, 
1922, 1923, 0, 112, 
1923, 1924, 0, 112, 
1924, 1925, -5, 107, 
1925, 1926, -6, 101, 
1926, 1927, -2, 99, 
1927, 1928, -5, 94, 
1928, 1929, -5, 89, 
1929, 1930, -17, 72, 
1930, 1931, -16, 56, 
1931, 1932, -10, 46, 
1932, 1933, -16, 30, 
1933, 1934, -25, 5, 
1934, 1935, -20, -15, 
1935, 1936, -20, -35, 
1936, 1937, -12, -47, 
1937, 1938, -25, -72, 
1938, 1939, -14, -86, 
1939, 1940, -21, -107, 
1940, 1941, -6, -113, 
1941, 1942, -6, -119, 
1942, 1943, +3, -116, 
1943, 1944, -3, -119, 
1944, 1945, -15, -134, 
1945, 1946, -16, -150, 
1946, 1947, -17, -167, 
1947, 1948, -15, -182, 
1948, 1949, -28, -210, 
1949, 1950, -26, -236, 
1950, 1951, -36, -272, 
1951, 1952, -43, -315, 
1952, 1953, -34, -349, 
1953, 1954, -36, -385, 
1954, 1955, -54, -439, 
1955, 1956, -20, -459, 
1956, 1957, -20, -479, 
1957, 1958, +15, -464, 
1958, 1959, +8, -456, 
1959, 1960, +17, -439, 
1960, 1961, -26, -465, 
1961, 1962, +32, -433, 
1962, 1963, +21, -412, 
1963, 1964, +18, -394, 
1964, 1965, +8, -386, 
1965, 1966, +24, -362, 
1966, 1967, +27, -335, 
1967, 1968, +24, -311, 
1968, 1969, +15, -296, 
1969, 1970, +25, -271, 
1970, 1971, +22, -249, 
1971, 1972, +14, -235, 
1972, 1973, +22, -213, 
1973, 1974, +13, -200, 
1974, 1975, +10, -190, 
1975, 1976, +3, -187, 
1976, 1977, +5, -182, 
1977, 1978, +3, -179, 
1978, 1979, +9, -170, 
1979, 1980, +16, -154, 
1980, 1981, +15, -139, 
1981, 1982, +15, -124, 
1982, 1983, +9, -115, 
1983, 1984, +8, -107, 
1984, 1985, +10, -97, 
1985, 1986, +7, -90, 
1986, 1987, +4, -86, 
1987, 1988, -10, -96, 
1988, 1989, -5, -101, 
1989, 1990, -13, -114, 
1990, 1991, -19, -133, 
1991, 1992, -15, -148, 
1992, 1994, -58, -206, 
1994, 1995, -40, -246, 
1995, 1996, -21, -267, 
1996, 1997, -50, -317, 
1997, 1998, -60, -377, 
1998, 1999, -80, -457, 
1999, 2000, -180, -637, 
2000, 2001, -30, -667, 
2001, 2002, -35, -702, 
2002, 2003, -50, -752, 
2003, 2004, -19, -771, 
2004, 2005, -35, -806, 
2005, 2006, -5, -811, 
2006, 2007, -18, -829, 
2007, 2008, -91, -920, 
2008, 2009, -151, -1071, 
2009, 2010, +14, -1057, 
2010, 2011, 0, -1057, 
2011, 2012, -18, -1075, 
2012, 2013, -17, -1092, 
2013, 2014, -41, -1133, 
2014, 2015, -4, -1137, 
2015, 2016, -15, -1152, 
