col1,col2,col3,col4
Glacier, Triftgletscher (Gadmen), ,
Community, Gadmen, ,
Canton, BE, ,
Number, , ,
Length (1973), 5.75, ,
Area (1973), 16.55, ,
Coordinates, 671.0, 169.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1861 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1861, 1929, -1202, -1202, 
1929, 1959, -590.4, -1792, 
1959, 1970, -55.1, -1848, 
1970, 1980, -11.5, -1859, 
1980, 1986, +10.3, -1849, 
1986, 1990, -4.8, -1854, 
1990, 1995, -11.0, -1865, 
1995, 2000, -179.2, -2044, 
2000, 2001, -58.1, -2102, 
2001, 2002, -89.3, -2191, 
2002, 2003, -152.1, -2343, 
2003, 2004, -135.7, -2479, 
2004, 2005, -215.8, -2695, 
2005, 2006, -67.4, -2762, 
2006, 2007, -71.0, -2833, 
2007, 2008, -21.5, -2855, 
2008, 2009, -33.5, -2888, 
2009, 2010, -23.5, -2912, 
2010, 2011, -25.2, -2937, 
2011, 2012, -24.0, -2961, 
2012, 2013, -971.4, -3932, 
2013, 2014, -1.2, -3933, 
2014, 2015, -3.4, -3937, 
2015, 2016, -1.4, -3938, 
