col1,col2,col3,col4
Glacier, Glacier de Tsanfleuron, ,
Community, Savi�se, ,
Canton, VS, ,
Number, , ,
Length (1973), 3.70, ,
Area (1973), 3.81, ,
Coordinates, 583.0, 130.0,
Exposition, E, ,
  , , ,
Length variation measurements between 1884 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1884, 1885, -12, -12, 
1892, 1893, -28, -40, 
1893, 1894, -68, -108, 
1894, 1895, -42, -150, 
1895, 1896, -38, -188, 
1896, 1897, -7, -195, 
1897, 1898, -11, -206, 
1898, 1899, -56, -262, 
1899, 1900, +3, -259, 
1900, 1901, -17, -276, 
1901, 1902, +24, -252, 
1902, 1904, -132, -384, 
1904, 1905, -18, -402, 
1905, 1906, -10, -412, 
1906, 1907, +11, -401, 
1907, 1908, +6, -395, 
1908, 1909, -3, -398, 
1909, 1910, -14, -412, 
1910, 1911, -3, -415, 
1911, 1912, +9, -406, 
1912, 1913, 0, -406, 
1913, 1914, +2, -404, 
1914, 1915, -8, -412, 
1915, 1916, -3, -415, 
1916, 1917, -5, -420, 
1917, 1918, 0, -420, 
1918, 1919, -2, -422, 
1919, 1920, -16, -438, 
1920, 1921, -20, -458, 
1921, 1922, -13, -471, 
1922, 1923, 0, -471, 
1923, 1924, 1, -470, 
1924, 1925, -18, -488, 
1925, 1926, -2, -490, 
1926, 1927, -11, -501, 
1927, 1928, -21, -522, 
1928, 1929, -48, -570, 
1929, 1930, -24, -594, 
1930, 1931, 0, -594, 
1931, 1932, -38, -632, 
1932, 1933, -13, -645, 
1933, 1934, -22, -667, 
1934, 1935, -5, -672, 
1935, 1936, 1, -671, 
1936, 1937, -26, -697, 
1937, 1938, -10, -707, 
1938, 1939, -6, -713, 
1939, 1940, -5, -718, 
1940, 1941, 1, -717, 
1941, 1942, -11, -728, 
1942, 1943, -14, -742, 
1943, 1944, -33, -775, 
1944, 1945, -3, -778, 
1945, 1946, -10, -788, 
1946, 1947, -41, -829, 
1947, 1948, -3, -832, 
1948, 1949, -23, -855, 
1949, 1950, -59, -914, 
1950, 1951, -18, -932, 
1951, 1952, -24, -956, 
1952, 1953, -6, -962, 
1953, 1954, -34, -996, 
1954, 1955, +8, -988, 
1955, 1956, +16, -972, 
1956, 1957, -6, -978, 
1957, 1958, -39, -1017, 
1958, 1959, -82, -1099, 
1959, 1960, -6, -1105, 
1960, 1961, -14, -1119, 
1961, 1962, 0, -1119, 
1962, 1963, -5, -1124, 
1963, 1964, -16, -1140, 
1964, 1965, -3, -1143, 
1965, 1966, +10, -1133, 
1966, 1967, -21, -1154, 
1967, 1968, -3, -1157, 
1968, 1969, -16, -1173, 
1969, 1970, +6, -1167, 
1970, 1971, -28, -1195, 
1971, 1972, -10, -1205, 
1972, 1973, -1, -1206, 
1973, 1974, 0, -1206, 
1974, 1975, -7, -1213, 
1975, 1976, -15, -1228, 
1976, 1977, -48, -1276, 
1977, 1978, +16, -1260, 
1978, 1979, +36, -1224, 
1979, 1980, -38, -1262, 
1980, 1982, -4, -1266, 
1982, 1983, +6, -1260, 
1983, 1985, -32, -1292, 
1985, 1986, -10, -1302, 
1986, 1987, -5, -1307, 
1987, 1989, -22, -1329, 
1989, 1990, -9, -1338, 
1990, 1991, -15, -1353, 
1991, 1993, -6, -1359, 
1993, 1994, -2, -1361, 
1994, 1995, -18, -1379, 
1995, 1996, -8, -1387, 
1996, 1997, -5, -1392, 
1997, 1998, -15, -1407, 
1998, 1999, -7, -1414, 
1999, 2000, -5, -1419, 
2000, 2001, -30, -1449, 
2001, 2002, -75, -1524, 
2002, 2003, -13.5, -1538, 
2003, 2004, -19, -1557, 
2004, 2005, -37.5, -1594, 
2005, 2008, -125.5, -1720, 
2008, 2009, -103.5, -1823, 
2010, 2011, -8.3, -1831, 
2011, 2012, -8.4, -1840, 
2012, 2013, -14.6, -1854, 
2013, 2014, -19.4, -1874, 
2014, 2015, -20, -1894, 
2015, 2016, -13.7, -1907, 
