col1,col2,col3,col4
Glacier, Vadret da Tschierva, ,
Community, Samedan, ,
Canton, GR, ,
Number, , ,
Length (1973), 4.75, ,
Area (1973), 6.20, ,
Coordinates, 787.2, 141.8,
Exposition, NW, ,
  , , ,
Length variation measurements between 1934 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1934, 1943, -250, -250, 
1943, 1944, +2, -248, 
1944, 1945, -9, -257, 
1945, 1946, -12, -269, 
1946, 1947, -13, -282, 
1947, 1948, -11, -293, 
1948, 1949, -13, -306, 
1949, 1950, -30, -336, 
1950, 1951, -24, -360, 
1951, 1953, -52, -412, 
1953, 1954, -33, -445, 
1954, 1955, -37, -482, 
1955, 1957, -117, -599, 
1957, 1958, -40, -639, 
1958, 1959, -18, -657, 
1959, 1960, -54, -711, 
1960, 1961, -18, -729, 
1961, 1962, -58, -787, 
1962, 1963, -50, -837, 
1963, 1964, -4, -841, 
1964, 1965, -41, -882, 
1965, 1966, -13, -895, 
1966, 1967, -10, -905, 
1967, 1968, +24, -881, 
1968, 1969, +17, -864, 
1969, 1970, +16, -848, 
1970, 1971, +10, -838, 
1971, 1972, +10, -828, 
1972, 1973, +22, -806, 
1973, 1974, +56, -750, 
1974, 1975, -3, -753, 
1975, 1976, -34, -787, 
1976, 1978, +11, -776, 
1978, 1979, +12, -764, 
1979, 1981, +48, -716, 
1981, 1982, +29, -687, 
1982, 1983, +5, -682, 
1983, 1984, +11, -671, 
1984, 1985, +4, -667, 
1985, 1986, 0, -667, 
1986, 1987, 1, -666, 
1987, 1988, -21, -687, 
1988, 1989, -5, -692, 
1989, 1990, -11, -703, 
1990, 1991, -9, -712, 
1991, 1992, -19, -731, 
1992, 1993, -21, -752, 
1993, 1994, -45, -797, 
1994, 1995, -24, -821, 
1995, 1996, -32, -853, 
1996, 1997, -25, -878, 
1997, 1998, -28, -906, 
1998, 1999, -40, -946, 
1999, 2000, -53.1, -999, 
2000, 2001, -46.7, -1046, 
2001, 2002, -55.2, -1101, 
2002, 2003, -48.8, -1150, 
2003, 2004, -34.0, -1184, 
2004, 2005, -34.3, -1218, 
2005, 2006, -54.8, -1273, 
2006, 2007, -51.4, -1324, 
2007, 2008, -25.0, -1349, 
2008, 2009, -24.8, -1374, 
2009, 2010, -20.7, -1395, 
2010, 2011, -29.3, -1424, 
2011, 2012, -30.8, -1455, 
2012, 2013, -95.3, -1550, 
2013, 2014, -66.5, -1617, 
2014, 2015, -27.9, -1645, 
2015, 2016, -20.7, -1665, 
