col1,col2,col3,col4
Glacier, Tschingelfirn, ,
Community, Lauterbrunnen, ,
Canton, BE, ,
Number, , ,
Length (1973), 3.65, ,
Area (1973), 6.19, ,
Coordinates, 630.7, 149.5,
Exposition, NE, ,
  , , ,
Length variation measurements between 1893 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, -5, -5, 
1894, 1895, -22, -27, 
1895, 1897, -6, -33, 
1897, 1899, -22, -55, 
1899, 1900, -1, -56, 
1900, 1901, -4, -60, 
1901, 1902, 0, -60, 
1902, 1907, -20, -80, 
1907, 1909, -20, -100, 
1909, 1911, -60, -160, 
1917, 1918, 0, -160, 
1918, 1921, +30, -130, 
1924, 1925, +4, -126, 
1928, 1929, 0, -126, 
1930, 1932, +5, -121, 
1935, 1938, -28, -149, 
1962, 1964, -20, -169, 
1964, 1966, -7, -176, 
1966, 1968, -11, -187, 
1968, 1969, -4, -191, 
1969, 1970, -6, -197, 
1970, 1971, -5, -202, 
1971, 1972, -13, -215, 
1972, 1973, 0, -215, 
1973, 1974, 0, -215, 
1974, 1975, +8, -207, 
1975, 1976, +2, -205, 
1976, 1977, +2, -203, 
1977, 1978, +10, -193, 
1978, 1979, +7, -186, 
1979, 1980, +8, -178, 
1980, 1981, +8, -170, 
1981, 1982, +11, -159, 
1982, 1983, +5, -154, 
1983, 1984, +6, -148, 
1984, 1985, +5, -143, 
1985, 1986, -2, -145, 
1986, 1987, +6, -139, 
1987, 1988, -2, -141, 
1988, 1989, 0, -141, 
1989, 1990, -3, -144, 
1990, 1991, -9, -153, 
1991, 1992, -4, -157, 
1992, 1993, -2, -159, 
1993, 1994, -5, -164, 
1994, 1995, 0, -164, 
1995, 1996, -6, -170, 
1996, 1997, -3, -173, 
1997, 1998, -4, -177, 
1998, 1999, -1, -178, 
1999, 2000, -2.8, -181, 
2000, 2001, -5.2, -186, 
2000, 2002, -9.3, -190, 
2002, 2003, -7.8, -198, 
2003, 2004, -1.7, -200, 
2004, 2005, -3.2, -203, 
2005, 2006, -6.8, -210, 
2006, 2007, -13.7, -223, 
2007, 2008, -1.4, -225, 
2008, 2009, -3.3, -228, 
2009, 2010, -16.2, -244, 
2010, 2011, -21.1, -265, 
2011, 2012, -37, -302, 
2012, 2013, -16.5, -319, 
2013, 2014, -13.6, -332, 
2014, 2015, -7.9, -340, 
2015, 2016, -2.3, -343, 
