col1,col2,col3,col4
Glacier, Glacier de Tseudet, ,
Community, Bourg-Saint-Pierre, ,
Canton, VS, ,
Number, , ,
Length (1973), 2.95, ,
Area (1973), 1.75, ,
Coordinates, 585.4, 84.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1890 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1890, 1891, +8, 8, 
1894, 1895, +3, 11, 
1895, 1897, +4, 15, 
1897, 1898, -2, 13, 
1898, 1899, -3, 10, 
1956, 1957, -14, -4, 
1957, 1958, -5, -9, 
1958, 1959, -20, -29, 
1959, 1960, -10, -39, 
1960, 1961, -8, -47, 
1961, 1962, -5, -52, 
1962, 1963, -12, -64, 
1963, 1964, -10, -74, 
1964, 1965, 0, -74, 
1965, 1966, -3, -77, 
1966, 1967, +2, -75, 
1967, 1968, -14, -89, 
1968, 1969, -24, -113, 
1969, 1970, 0, -113, 
1970, 1971, -12, -125, 
1971, 1972, -5, -130, 
1972, 1973, -5, -135, 
1973, 1975, -22, -157, 
1975, 1976, -9, -166, 
1976, 1977, -4, -170, 
1977, 1978, -26, -196, 
1978, 1979, +5, -191, 
1979, 1980, 1, -190, 
1980, 1981, +20, -170, 
1981, 1982, +2, -168, 
1982, 1983, +20, -148, 
1983, 1984, +2, -146, 
1984, 1985, +3, -143, 
1985, 1986, 1, -142, 
1986, 1987, 0, -142, 
1987, 1988, -1, -143, 
1988, 1989, -5, -148, 
1989, 1990, 0, -148, 
1990, 1991, -12, -160, 
1991, 1992, -22, -182, 
1992, 1993, +16, -166, 
1993, 1994, -10, -176, 
1994, 1995, -27, -203, 
1995, 1997, -53, -256, 
1997, 1998, -14, -270, 
1998, 1999, +39, -231, 
1999, 2001, -9, -240, 
2001, 2003, -30.5, -271, 
2003, 2005, -54, -325, 
2005, 2007, +7, -318, 
2007, 2008, +11.3, -306, 
2008, 2009, -11.3, -318, 
2009, 2010, -7.9, -325, 
2010, 2011, -7.2, -333, 
2011, 2012, -7.2, -340, 
2012, 2013, -14.4, -354, 
2013, 2014, -13.7, -368, 
2014, 2015, -11.4, -379, 
2015, 2016, -1.8, -381, 
