col1,col2,col3,col4
Glacier, Glacier de Tsijiore Nouve, ,
Community, Evol�ne, ,
Canton, VS, ,
Number, , ,
Length (1973), 4.85, ,
Area (1973), 3.20, ,
Coordinates, 600.9, 94.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1880 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1880, 1882, +150, 150, 
1882, 1885, +173, 323, 
1885, 1886, +20, 343, 
1886, 1887, +50, 393, 
1888, 1889, +50, 443, 
1891, 1892, +100, 543, 
1892, 1893, +102, 645, 
1893, 1894, +74, 719, 
1894, 1895, +25, 744, 
1895, 1896, +5, 749, 
1896, 1897, -73, 676, 
1897, 1898, -49, 627, 
1898, 1899, -43, 584, 
1899, 1900, -63, 521, 
1900, 1901, -69, 452, 
1901, 1902, -11, 441, 
1902, 1904, -21, 420, 
1904, 1905, -47, 373, 
1905, 1906, -27, 346, 
1906, 1907, -22, 324, 
1907, 1908, -12, 312, 
1908, 1909, -4, 308, 
1909, 1910, -17, 291, 
1910, 1911, -20, 271, 
1911, 1912, -3, 268, 
1912, 1913, -2, 266, 
1913, 1914, -20, 246, 
1914, 1915, +22, 268, 
1915, 1916, +25, 293, 
1916, 1917, +18, 311, 
1917, 1918, +20, 331, 
1918, 1919, +20, 351, 
1919, 1920, +15, 366, 
1920, 1921, +6, 372, 
1921, 1922, -10, 362, 
1922, 1923, +13, 375, 
1923, 1924, -6, 369, 
1924, 1925, -4, 365, 
1925, 1926, -23, 342, 
1926, 1927, -14, 328, 
1927, 1928, -4, 324, 
1928, 1929, -26, 298, 
1929, 1930, -10, 288, 
1930, 1931, -22, 266, 
1931, 1932, -61, 205, 
1932, 1933, -35, 170, 
1933, 1934, -44, 126, 
1934, 1935, -19, 107, 
1935, 1936, -9, 98, 
1936, 1939, -42, 56, 
1939, 1940, -24, 32, 
1940, 1941, 0, 32, 
1941, 1942, -26, 6, 
1942, 1943, +15, 21, 
1943, 1945, -26, -5, 
1945, 1946, +20, 15, 
1946, 1947, 0, 15, 
1947, 1948, +3, 18, 
1948, 1949, -23, -5, 
1949, 1950, -3, -8, 
1950, 1951, -39, -47, 
1951, 1952, -13, -60, 
1952, 1953, -15, -75, 
1953, 1954, -4, -79, 
1954, 1955, -1, -80, 
1955, 1956, -6, -86, 
1956, 1957, -9, -95, 
1957, 1958, -12, -107, 
1958, 1959, -4, -111, 
1959, 1960, -6, -117, 
1960, 1961, -3, -120, 
1961, 1962, -4, -124, 
1962, 1963, -20, -144, 
1963, 1964, -6, -150, 
1964, 1967, -14, -164, 
1967, 1968, -6, -170, 
1968, 1969, -2, -172, 
1969, 1970, -2, -174, 
1970, 1971, -4, -178, 
1971, 1972, +11, -167, 
1972, 1973, +9, -158, 
1973, 1974, +8, -150, 
1974, 1975, +13, -137, 
1975, 1976, +10, -127, 
1976, 1977, +16, -111, 
1977, 1978, +5, -106, 
1978, 1979, +10, -96, 
1979, 1980, +11, -85, 
1980, 1981, +28, -57, 
1981, 1982, +25, -32, 
1982, 1983, +38, 6, 
1983, 1984, +26, 32, 
1984, 1985, +21, 53, 
1985, 1986, +12, 65, 
1986, 1987, +5, 70, 
1987, 1988, +7, 77, 
1988, 1989, +5, 82, 
1989, 1990, +7, 89, 
1990, 1991, -4, 85, 
1991, 1992, -8, 77, 
1992, 1993, -6, 71, 
1993, 1994, +14, 85, 
1994, 1995, +6, 91, 
1995, 1996, -1, 90, 
1996, 1997, -108, -18, 
1997, 1998, -13, -31, 
1998, 1999, -21, -52, 
1999, 2000, -17, -69, 
2000, 2001, -12, -81, 
2001, 2002, -52, -133, 
2002, 2003, -33, -166, 
2003, 2004, -22, -188, 
2004, 2005, -45, -233, 
2005, 2006, -40, -273, 
2006, 2007, -18, -291, 
2007, 2009, -26, -317, 
2009, 2010, -14.7, -332, 
2010, 2011, -8.5, -340, 
2011, 2012, -12.5, -353, 
2012, 2013, -9.2, -362, 
2013, 2014, -8.1, -370, 
2014, 2015, -10.3, -380, 
2015, 2016, -9.2, -390, 
