col1,col2,col3,col4
Glacier, Turtmanngletscher, ,
Community, Oberems, ,
Canton, VS, ,
Number, , ,
Length (1973), 5.80, ,
Area (1973), 5.91, ,
Coordinates, 620.5, 108.5,
Exposition, N, ,
  , , ,
Length variation measurements between 1885 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1885, 1886, -63, -63, 
1886, 1887, -85, -148, 
1887, 1893, -112, -260, 
1893, 1894, +5, -255, 
1894, 1895, -2, -257, 
1895, 1896, -1, -258, 
1896, 1897, -9, -267, 
1897, 1898, -9, -276, 
1898, 1899, -6, -282, 
1899, 1900, -9, -291, 
1900, 1901, -8, -299, 
1901, 1902, -4, -303, 
1902, 1903, -8, -311, 
1903, 1904, -10, -321, 
1904, 1906, -38, -359, 
1906, 1907, -7, -366, 
1907, 1908, 1, -365, 
1908, 1909, -10, -375, 
1909, 1910, -14, -389, 
1910, 1911, -18, -407, 
1911, 1912, -6, -413, 
1912, 1913, -29, -442, 
1913, 1914, -19, -461, 
1914, 1915, -6, -467, 
1915, 1916, +4, -463, 
1916, 1917, -22, -485, 
1917, 1918, -4, -489, 
1918, 1919, +16, -473, 
1919, 1920, -2, -475, 
1920, 1921, +10, -465, 
1921, 1922, -2, -467, 
1922, 1923, -1, -468, 
1923, 1924, +6, -462, 
1924, 1925, -4, -466, 
1925, 1926, -2, -468, 
1926, 1927, -3, -471, 
1927, 1928, -21, -492, 
1928, 1929, -4, -496, 
1929, 1930, -12, -508, 
1930, 1931, -6, -514, 
1931, 1932, -9, -523, 
1932, 1933, -2, -525, 
1933, 1934, -28, -553, 
1934, 1935, +20, -533, 
1935, 1936, -32, -565, 
1936, 1937, -7, -572, 
1937, 1938, -20, -592, 
1938, 1939, -26, -618, 
1939, 1940, +13, -605, 
1940, 1941, -86, -691, 
1941, 1942, -6, -697, 
1942, 1943, -25, -722, 
1943, 1944, +4, -718, 
1944, 1945, -28, -746, 
1945, 1946, -3, -749, 
1946, 1947, -14, -763, 
1947, 1948, -2, -765, 
1948, 1949, -14, -779, 
1949, 1950, -18, -797, 
1950, 1951, -30, -827, 
1951, 1952, -10, -837, 
1952, 1953, -6, -843, 
1953, 1954, -32, -875, 
1954, 1955, -10, -885, 
1955, 1956, -29, -914, 
1956, 1957, -12, -926, 
1957, 1958, -66, -992, 
1958, 1959, -10, -1002, 
1959, 1960, -17, -1019, 
1960, 1961, -25, -1044, 
1961, 1962, -25, -1069, 
1962, 1963, -18, -1087, 
1963, 1964, -14, -1101, 
1964, 1965, -6, -1107, 
1965, 1966, -6, -1113, 
1966, 1967, -9, -1122, 
1967, 1968, -10, -1132, 
1968, 1969, -6, -1138, 
1969, 1970, -8, -1146, 
1970, 1971, -37, -1183, 
1971, 1972, +16, -1167, 
1972, 1973, -9, -1176, 
1973, 1974, +6, -1170, 
1974, 1975, +13, -1157, 
1975, 1976, -4, -1161, 
1976, 1977, -3, -1164, 
1977, 1978, -3, -1167, 
1978, 1979, -13, -1180, 
1979, 1980, +24.2, -1156, 
1980, 1981, +17, -1139, 
1981, 1982, -2, -1141, 
1982, 1983, +19, -1122, 
1983, 1984, +18, -1104, 
1984, 1985, -15, -1119, 
1985, 1986, +4, -1115, 
1986, 1987, -3, -1118, 
1987, 1988, +2, -1116, 
1988, 1989, -6, -1122, 
1989, 1990, -10, -1132, 
1990, 1991, +7, -1125, 
1991, 1992, +3, -1122, 
1992, 1993, -12, -1134, 
1994, 1995, +2, -1132, 
1995, 1996, +55, -1077, 
1996, 1997, -84, -1161, 
1997, 1998, -9, -1170, 
1998, 1999, +83, -1087, 
1999, 2000, +4.8, -1082, 
2000, 2001, -1.4, -1083, 
2001, 2002, -9.6, -1093, 
2002, 2003, -126.9, -1220, 
2003, 2004, -46.4, -1266, 
2004, 2005, -17.4, -1284, 
2005, 2011, -22.7, -1306, 
2012, 2013, -30.2, -1337, 
2013, 2014, -13, -1350, 
2014, 2015, -133.1, -1483, 
2015, 2016, -30, -1513, 
