col1,col2,col3,col4
Glacier, Unteraargletscher, ,
Community, Guttannen, ,
Canton, BE, ,
Number, , ,
Length (1973), 12.95, ,
Area (1973), 29.48, ,
Coordinates, 657.0, 158.0,
Exposition, E, ,
  , , ,
Length variation measurements between 1876 and 2013, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1876, 1880, -35, -35, 
1880, 1884, -23, -58, 
1884, 1886, +23, -35, 
1886, 1893, -200, -235, 
1893, 1894, -2, -237, 
1894, 1895, -30, -267, 
1895, 1896, -14, -281, 
1896, 1897, -3, -284, 
1897, 1898, -25, -309, 
1898, 1899, -14, -323, 
1899, 1900, -25, -348, 
1900, 1901, -8, -356, 
1901, 1902, -14, -370, 
1902, 1903, -14, -384, 
1903, 1904, -6, -390, 
1904, 1905, -8, -398, 
1905, 1906, -3, -401, 
1906, 1907, -7, -408, 
1907, 1908, -29, -437, 
1908, 1909, -1, -438, 
1909, 1910, -9, -447, 
1910, 1911, -10, -457, 
1911, 1912, +4, -453, 
1912, 1913, -14, -467, 
1913, 1914, -8, -475, 
1914, 1915, -12, -487, 
1915, 1916, -11, -498, 
1916, 1917, -7, -505, 
1917, 1918, -7, -512, 
1918, 1919, -8, -520, 
1919, 1920, -8, -528, 
1920, 1921, -14, -542, 
1921, 1922, -14, -556, 
1922, 1923, -14, -570, 
1923, 1924, -14, -584, 
1924, 1925, -7, -591, 
1925, 1926, -7, -598, 
1926, 1927, -16, -614, 
1927, 1928, -10, -624, 
1928, 1929, -12, -636, 
1929, 1930, -14, -650, 
1930, 1931, -13, -663, 
1931, 1932, -12, -675, 
1932, 1933, -54, -729, 
1933, 1934, -67, -796, 
1934, 1935, -43, -839, 
1935, 1936, -41, -880, 
1936, 1937, -40, -920, 
1937, 1938, -30, -950, 
1938, 1939, -26, -976, 
1939, 1940, -14, -990, 
1940, 1941, -26, -1016, 
1941, 1942, -11, -1027, 
1942, 1943, -29, -1056, 
1943, 1944, -26, -1082, 
1944, 1945, -10, -1092, 
1945, 1946, -11, -1103, 
1946, 1947, -17, -1120, 
1947, 1948, -23, -1143, 
1948, 1949, -23, -1166, 
1949, 1950, -12, -1178, 
1950, 1951, -10, -1188, 
1951, 1952, -26, -1214, 
1952, 1953, -11, -1225, 
1953, 1954, -17, -1242, 
1954, 1955, -13, -1255, 
1955, 1956, 0, -1255, 
1956, 1957, -5, -1260, 
1957, 1958, -2, -1262, 
1958, 1959, -6, -1268, 
1959, 1960, -15, -1283, 
1960, 1961, -10, -1293, 
1961, 1962, -11, -1304, 
1962, 1963, -18, -1322, 
1963, 1964, -13, -1335, 
1964, 1965, -19, -1354, 
1965, 1966, -17, -1371, 
1966, 1967, -21, -1392, 
1967, 1968, -15, -1407, 
1968, 1969, -13, -1420, 
1969, 1970, -7.1, -1427, 
1970, 1971, -7.2, -1434, 
1971, 1972, -12.3, -1447, 
1972, 1973, -11.8, -1458, 
1973, 1974, -13.5, -1472, 
1974, 1975, -14.4, -1486, 
1975, 1976, -16.5, -1503, 
1976, 1977, -8.9, -1512, 
1977, 1978, -32.8, -1545, 
1978, 1979, -14.9, -1559, 
1979, 1980, -7.6, -1567, 
1980, 1981, -26.6, -1594, 
1981, 1982, -12.4, -1606, 
1982, 1983, -26.6, -1633, 
1983, 1984, -17.9, -1651, 
1984, 1985, -17.2, -1668, 
1985, 1986, -24.1, -1692, 
1986, 1987, -11.5, -1703, 
1987, 1988, -10.0, -1713, 
1988, 1989, -16.7, -1730, 
1989, 1990, -41.4, -1771, 
1990, 1991, -16.6, -1788, 
1991, 1992, -29.6, -1818, 
1992, 1993, -37.2, -1855, 
1993, 1994, -42.8, -1898, 
1994, 1995, -25.8, -1923, 
1995, 1996, -24.2, -1948, 
1996, 1997, -30.8, -1978, 
1997, 1998, -94.0, -2072, 
1998, 2000, -89.6, -2162, 
2000, 2001, -40.1, -2202, 
2001, 2004, -158.6, -2361, 
2004, 2005, -32.7, -2393, 
2005, 2008, -71.8, -2465, 
2008, 2009, -18.2, -2483, 
2009, 2012, -61.8, -2545, 
2012, 2013, -16.2, -2561, 
