col1,col2,col3,col4
Glacier, Unterer Grindelwaldgletscher, ,
Community, Grindelwald, ,
Canton, BE, ,
Number, , ,
Length (1973), 8.30, ,
Area (1973), 20.84, ,
Coordinates, 648.0, 159.5,
Exposition, N, ,
  , , ,
Length variation measurements between 1879 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1879, 1880, -50, -50, 
1880, 1881, -80, -130, 
1881, 1882, 0, -130, 
1882, 1883, +10, -120, 
1883, 1884, +5, -115, 
1884, 1885, 0, -115, 
1885, 1886, 0, -115, 
1886, 1887, 0, -115, 
1887, 1888, 0, -115, 
1889, 1890, 0, -115, 
1890, 1891, 0, -115, 
1893, 1894, -7, -122, 
1894, 1895, 0, -122, 
1895, 1896, 0, -122, 
1896, 1897, 0, -122, 
1897, 1898, 0, -122, 
1898, 1899, -23, -145, 
1899, 1900, -86, -231, 
1900, 1901, -34, -265, 
1901, 1902, 0, -265, 
1902, 1903, -30, -295, 
1903, 1904, 0, -295, 
1904, 1905, -53, -348, 
1905, 1906, -60, -408, 
1906, 1907, +20, -388, 
1907, 1908, +25, -363, 
1908, 1909, +10, -353, 
1909, 1910, +15, -338, 
1910, 1911, -40, -378, 
1911, 1912, +20, -358, 
1912, 1913, +20, -338, 
1913, 1914, +10, -328, 
1914, 1916, -40, -368, 
1916, 1917, -70, -438, 
1917, 1918, +10, -428, 
1918, 1919, +10, -418, 
1919, 1920, +10, -408, 
1920, 1921, +22, -386, 
1921, 1922, +5, -381, 
1922, 1923, +12, -369, 
1923, 1924, +14, -355, 
1924, 1925, +9, -346, 
1925, 1926, +2, -344, 
1926, 1927, -1, -345, 
1927, 1928, +2, -343, 
1928, 1929, +7, -336, 
1929, 1930, -8, -344, 
1930, 1931, +5, -339, 
1931, 1932, +3, -336, 
1932, 1933, +2, -334, 
1933, 1934, 0, -334, 
1934, 1935, -28, -362, 
1935, 1936, +2, -360, 
1936, 1937, -5, -365, 
1937, 1938, -15, -380, 
1938, 1939, -15, -395, 
1939, 1940, -15, -410, 
1940, 1941, -20, -430, 
1941, 1942, -10, -440, 
1942, 1943, -10, -450, 
1943, 1944, -6, -456, 
1944, 1945, -20, -476, 
1945, 1946, -25, -501, 
1946, 1947, -32, -533, 
1947, 1948, -25, -558, 
1948, 1949, -19, -577, 
1949, 1951, -40, -617, 
1951, 1952, -19, -636, 
1952, 1953, -63, -699, 
1953, 1954, -43, -742, 
1954, 1955, -30, -772, 
1955, 1956, -16, -788, 
1956, 1957, -14, -802, 
1957, 1958, -16, -818, 
1958, 1959, -38, -856, 
1959, 1960, -3, -859, 
1960, 1961, -11, -870, 
1961, 1962, -72, -942, 
1962, 1963, -48, -990, 
1963, 1964, -25, -1015, 
1964, 1965, -10, -1025, 
1965, 1966, -15, -1040, 
1966, 1967, -20, -1060, 
1967, 1968, -15, -1075, 
1968, 1969, 0, -1075, 
1969, 1970, -20, -1095, 
1970, 1971, -30, -1125, 
1971, 1972, -20, -1145, 
1972, 1973, -10, -1155, 
1973, 1975, -35, -1190, 
1975, 1976, -8, -1198, 
1976, 1977, -4, -1202, 
1977, 1978, +75, -1127, 
1978, 1979, 0, -1127, 
1979, 1980, +125, -1002, 
1980, 1981, +50, -952, 
1981, 1982, -60, -1012, 
1982, 1983, -65, -1077, 
1983, 2007, -230, -1307, 
2007, 2013, -1005, -2312, 
2013, 2014, -471.7, -2784, 
2014, 2015, -450, -3234, 
2015, 2016, -370, -3504, 
