col1,col2,col3,col4
Glacier, Ghiacciaio di Valleggia, ,
Community, Bedretto, ,
Canton, TI, ,
Number, , ,
Length (1973), 0.90, ,
Area (1973), 0.60, ,
Coordinates, 682.0, 147.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1971 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1971, 1973, -15.3, -15, 
1973, 1974, -3.9, -19, 
1974, 1975, -7.4, -27, 
1975, 1976, 2.6, -24, 
1977, 1980, +15, -9, 
1980, 1983, -13.8, -23, 
1983, 1985, +11.7, -11, 
1985, 1986, -5.8, -17, 
1986, 1987, -1.7, -19, 
1987, 1988, -2.7, -21, 
1988, 1989, -2.6, -24, 
1989, 1990, -6.8, -31, 
1990, 1992, -10, -41, 
1992, 1993, -6.1, -47, 
1993, 1994, -1.5, -48, 
1994, 1995, -7.1, -55, 
1995, 1996, -3.4, -59, 
1996, 1997, 0.2, -59, 
1997, 1999, -3.9, -63, 
1999, 2000, -7.7, -70, 
2000, 2001, -3.3, -74, 
2001, 2002, -1.8, -75, 
2002, 2003, -7.5, -83, 
2003, 2004, -1.2, -84, 
2004, 2005, -4.4, -88, 
2005, 2006, -5.1, -94, 
2006, 2007, -6.0, -100, 
2007, 2008, -8.9, -108, 
2008, 2009, -0.8, -109, 
2009, 2010, -7.9, -117, 
2010, 2011, -4.3, -121, 
2011, 2012, -6, -127, 
2012, 2014, -6, -133, 
2014, 2015, -5.3, -139, 
2015, 2016, -9.4, -148, 
