col1,col2,col3,col4
Glacier, Glacier de Valsorey, ,
Community, Bourg-Saint-Pierre, ,
Canton, VS, ,
Number, , ,
Length (1973), 3.80, ,
Area (1973), 2.37, ,
Coordinates, 586.9, 83.5,
Exposition, N, ,
  , , ,
Length variation measurements between 1889 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1889, 1890, -2, -2, 
1890, 1891, +17, 15, 
1891, 1892, +3, 18, 
1892, 1893, -3, 15, 
1893, 1894, -2, 13, 
1894, 1895, -5, 8, 
1895, 1896, -3, 5, 
1896, 1897, -3, 2, 
1897, 1898, -5, -3, 
1898, 1899, 1, -2, 
1899, 1900, -5, -7, 
1900, 1901, -2, -9, 
1901, 1902, -2, -11, 
1902, 1903, -2, -13, 
1903, 1904, -3, -16, 
1904, 1905, -4, -20, 
1905, 1906, -5, -25, 
1906, 1907, -3, -28, 
1907, 1908, 0, -28, 
1908, 1909, 0, -28, 
1909, 1910, -3, -31, 
1910, 1911, -6, -37, 
1911, 1912, -1, -38, 
1912, 1913, -4, -42, 
1913, 1914, -3, -45, 
1914, 1915, -2, -47, 
1915, 1916, -8, -55, 
1916, 1917, 0, -55, 
1917, 1918, -4, -59, 
1918, 1919, -4, -63, 
1919, 1920, -6, -69, 
1920, 1921, -2, -71, 
1921, 1922, -2, -73, 
1922, 1923, -4, -77, 
1923, 1924, -28, -105, 
1925, 1926, 0, -105, 
1926, 1927, 0, -105, 
1927, 1928, 0, -105, 
1928, 1929, 0, -105, 
1929, 1930, 0, -105, 
1930, 1931, 0, -105, 
1931, 1932, 0, -105, 
1932, 1933, -7, -112, 
1933, 1934, -6, -118, 
1934, 1935, -14, -132, 
1935, 1936, -8, -140, 
1936, 1937, 0, -140, 
1937, 1938, 0, -140, 
1938, 1939, -60, -200, 
1940, 1941, -4, -204, 
1941, 1942, -14, -218, 
1942, 1943, -14, -232, 
1943, 1944, -25, -257, 
1944, 1945, -44, -301, 
1945, 1947, -10, -311, 
1947, 1948, -37, -348, 
1948, 1949, -8, -356, 
1949, 1950, -26, -382, 
1950, 1951, -20, -402, 
1951, 1953, -58, -460, 
1953, 1954, -29, -489, 
1954, 1955, 0, -489, 
1955, 1956, -21, -510, 
1956, 1957, -22, -532, 
1957, 1958, -15, -547, 
1958, 1959, -31, -578, 
1959, 1960, -12, -590, 
1960, 1961, -8, -598, 
1961, 1962, 0, -598, 
1962, 1963, -50, -648, 
1963, 1964, -11, -659, 
1964, 1965, -5, -664, 
1965, 1966, -5, -669, 
1966, 1967, 0, -669, 
1967, 1968, 1, -668, 
1968, 1969, +10, -658, 
1969, 1970, +8, -650, 
1970, 1971, 0, -650, 
1971, 1972, +3, -647, 
1972, 1973, 0, -647, 
1974, 1975, +10, -637, 
1975, 1976, +4, -633, 
1976, 1977, 1, -632, 
1977, 1978, +5, -627, 
1978, 1979, 1, -626, 
1979, 1980, +2, -624, 
1980, 1981, -5, -629, 
1981, 1982, 1, -628, 
1982, 1983, -17, -645, 
1983, 1984, -11, -656, 
1984, 1985, 0, -656, 
1985, 1986, -10, -666, 
1986, 1987, 0, -666, 
1987, 1988, -1, -667, 
1988, 1989, -10, -677, 
1989, 1990, +8, -669, 
1990, 1991, -9, -678, 
1991, 1992, -19, -697, 
1992, 1993, -9, -706, 
1993, 1994, -25, -731, 
1994, 1995, -43, -774, 
1995, 1997, -31, -805, 
1997, 1998, -19, -824, 
1998, 1999, -12, -836, 
1999, 2001, -4, -840, 
2001, 2003, -51, -891, 
2003, 2005, -27, -918, 
2005, 2007, -51, -969, 
2007, 2008, -6, -975, 
2008, 2009, -28, -1003, 
2009, 2010, -21.4, -1024, 
2010, 2011, -17.8, -1042, 
2011, 2012, -20.6, -1063, 
2012, 2013, -20.3, -1083, 
2013, 2014, -18.6, -1102, 
2014, 2015, -18.5, -1120, 
2015, 2016, -8.3, -1128, 
