col1,col2,col3,col4
Glacier, Ghiacciaio di Val Torta, ,
Community, Bedretto, ,
Canton, TI, ,
Number, , ,
Length (1973), 0.55, ,
Area (1973), 0.17, ,
Coordinates, 684.5, 147.1,
Exposition, N, ,
  , , ,
Length variation measurements between 1970 and 2011, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1970, 1971, -8, -8, 
1971, 1973, +19.5, 11, 
1973, 1974, -24.5, -13, 
1974, 1975, +20, 7, 
1975, 1976, -44, -37, 
1976, 1979, +54.5, 17, 
1983, 1985, +21.9, 39, 
1985, 1986, +16.2, 56, 
1986, 1987, -3.7, 52, 
1987, 1989, -37.7, 14, 
1989, 1990, -2.4, 12, 
1990, 1991, -9.1, 3, 
1991, 1993, -1.1, 2, 
1993, 1994, +9, 11, 
1994, 1995, -4.7, 6, 
1995, 1996, -0.6, 5, 
1996, 1997, +4, 9, 
1997, 1998, -7.6, 2, 
1998, 1999, -6.2, -5, 
1999, 2000, -19.1, -24, 
2000, 2001, -0.3, -24, 
2001, 2002, -1.7, -26, 
2002, 2003, -4.8, -30, 
2003, 2004, -0.1, -31, 
2004, 2005, 0, -31, 
2005, 2006, -13.8, -44, 
2006, 2007, -4.2, -49, 
2007, 2008, -12, -61, 
2008, 2009, 0, -61, 
2009, 2011, -44.1, -105, 
