col1,col2,col3,col4
Glacier, Verstanclagletscher, ,
Community, Klosters-Serneus, ,
Canton, GR, ,
Number, , ,
Length (1973), 2.15, ,
Area (1973), 1.27, ,
Coordinates, 800.5, 191.3,
Exposition, NW, ,
  , , ,
Length variation measurements between 1926 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1926, 1927, -30, -30, 
1927, 1928, +10, -20, 
1928, 1929, -2, -22, 
1929, 1930, -6, -28, 
1930, 1931, -4, -32, 
1931, 1932, -8, -40, 
1932, 1933, -4, -44, 
1933, 1934, -4, -48, 
1934, 1936, -22, -70, 
1936, 1937, +8, -62, 
1937, 1938, -10, -72, 
1938, 1940, -13, -85, 
1940, 1942, -28, -113, 
1942, 1943, -14, -127, 
1943, 1945, -15, -142, 
1945, 1946, +24, -118, 
1946, 1947, -56, -174, 
1947, 1948, -13, -187, 
1948, 1949, -21, -208, 
1949, 1950, -20, -228, 
1950, 1951, +18, -210, 
1951, 1953, -34, -244, 
1955, 1957, +43, -201, 
1957, 1958, -11, -212, 
1958, 1959, -20, -232, 
1959, 1961, -8, -240, 
1961, 1962, -4, -244, 
1962, 1963, -6, -250, 
1963, 1964, -10, -260, 
1964, 1965, -2, -262, 
1965, 1966, -4, -266, 
1966, 1967, -1, -267, 
1967, 1968, +2, -265, 
1968, 1969, -8, -273, 
1969, 1972, +12, -261, 
1972, 1973, 0, -261, 
1973, 1974, +2, -259, 
1974, 1975, +9, -250, 
1975, 1976, -6, -256, 
1976, 1977, +6, -250, 
1977, 1978, +6, -244, 
1978, 1979, +4, -240, 
1979, 1980, +6, -234, 
1980, 1981, +4, -230, 
1981, 1982, -5, -235, 
1982, 1983, +6, -229, 
1983, 1984, +2, -227, 
1984, 1985, +11, -216, 
1985, 1986, -5, -221, 
1986, 1987, 0, -221, 
1987, 1988, -6, -227, 
1988, 1989, -1, -228, 
1989, 1990, -2, -230, 
1990, 1991, -6, -236, 
1991, 1992, -10, -246, 
1992, 1994, -30, -276, 
1994, 1995, -3, -279, 
1995, 1996, -4, -283, 
1996, 1997, -2, -285, 
1997, 1998, -9, -294, 
1998, 1999, -10, -304, 
1999, 2000, -15, -319, 
2000, 2001, -5.25, -324, 
2001, 2002, -24., -348, 
2002, 2003, -22, -370, 
2003, 2004, -3.3, -374, 
2004, 2005, -14.7, -388, 
2005, 2006, -20.7, -409, 
2006, 2007, -20.7, -430, 
2007, 2008, -9, -439, 
2008, 2009, -10.3, -449, 
2009, 2010, -10, -459, 
2010, 2011, -19.9, -479, 
2011, 2012, -17, -496, 
2012, 2013, -12.7, -509, 
2013, 2014, -8.8, -517, 
2014, 2015, -18.3, -536, 
2015, 2016, -13.5, -549, 
