col1,col2,col3,col4
Glacier, Glatscher dil Vorab, ,
Community, Laax, ,
Canton, GR, ,
Number, , ,
Length (1973), 2.00, ,
Area (1973), 2.17, ,
Coordinates, 731.5, 193.5,
Exposition, E, ,
  , , ,
Length variation measurements between 1882 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1882, 1886, -300, -300, 
1887, 1893, -27, -327, 
1893, 1895, -20, -347, 
1895, 1897, -8, -355, 
1897, 1898, -13, -368, 
1898, 1900, -20, -388, 
1900, 1901, -6, -394, 
1901, 1902, -73, -467, 
1902, 1904, -14, -481, 
1904, 1907, +133, -348, 
1907, 1911, -18, -366, 
1911, 1917, +2, -364, 
1917, 1921, -21, -385, 
1921, 1923, +4, -381, 
1923, 1925, -7, -388, 
1925, 1926, +9, -379, 
1926, 1927, -6, -385, 
1927, 1929, -16, -401, 
1929, 1930, -19, -420, 
1930, 1931, -2, -422, 
1931, 1932, -8, -430, 
1932, 1933, -6, -436, 
1933, 1934, -24, -460, 
1934, 1935, -6, -466, 
1935, 1936, -2, -468, 
1936, 1937, -4, -472, 
1937, 1938, -4, -476, 
1938, 1939, -4, -480, 
1939, 1941, -2, -482, 
1941, 1942, -8, -490, 
1942, 1943, -48, -538, 
1943, 1944, +8, -530, 
1944, 1945, -2, -532, 
1945, 1946, -2, -534, 
1946, 1947, -33, -567, 
1947, 1948, +20, -547, 
1948, 1949, -43, -590, 
1949, 1950, -34, -624, 
1950, 1951, -34, -658, 
1951, 1953, -27, -685, 
1953, 1954, 0, -685, 
1954, 1955, -14, -699, 
1955, 1956, -19, -718, 
1956, 1959, -22, -740, 
1959, 1961, -2, -742, 
1961, 1962, -12, -754, 
1962, 1963, -22, -776, 
1963, 1964, -11, -787, 
1964, 1967, +26, -761, 
1967, 1969, +52, -709, 
1969, 1970, -16, -725, 
1970, 1971, -37, -762, 
1971, 1972, -28, -790, 
1972, 1973, -51, -841, 
1973, 1974, +2, -839, 
1974, 1975, 0, -839, 
1975, 1976, -13, -852, 
1976, 1977, +11, -841, 
1977, 1979, -2, -843, 
1979, 1980, +8, -835, 
1980, 1981, -2, -837, 
1981, 1982, -8, -845, 
1982, 1983, -8, -853, 
1983, 1985, -11, -864, 
1985, 1986, -26, -890, 
1986, 1987, -3, -893, 
1987, 1988, -13, -906, 
1988, 1990, -56, -962, 
1990, 1991, -29, -991, 
1991, 1992, -19, -1010, 
1992, 1994, -22, -1032, 
1994, 1996, -22, -1054, 
1996, 1997, -10, -1064, 
1997, 1998, -15, -1079, 
1998, 2000, -4.8, -1084, 
2000, 2003, -39.9, -1124, 
2003, 2005, -27.4, -1151, 
2005, 2006, -12.1, -1163, 
2006, 2007, -24.4, -1188, 
2007, 2008, -8.8, -1196, 
2008, 2009, -13.8, -1210, 
2009, 2010, -8.6, -1219, 
2010, 2011, -23.0, -1242, 
2011, 2013, -23.5, -1265, 
2013, 2014, -10.3, -1276, 
2014, 2015, -18.3, -1294, 
2015, 2016, -9.9, -1304, 
