col1,col2,col3,col4
Glacier, Wallenburfirn, ,
Community, G�schenen, ,
Canton, UR, ,
Number, , ,
Length (1973), 1.95, ,
Area (1973), 1.69, ,
Coordinates, 679.0, 173.3,
Exposition, SE, ,
  , , ,
Length variation measurements between 1893 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, -14, -14, 
1894, 1895, -26, -40, 
1895, 1898, -19, -59, 
1898, 1899, -13, -72, 
1899, 1900, -19, -91, 
1900, 1901, -19, -110, 
1901, 1902, 0, -110, 
1902, 1905, -21, -131, 
1905, 1906, -15, -146, 
1906, 1907, -7, -153, 
1907, 1908, -15, -168, 
1908, 1909, +2, -166, 
1909, 1910, -7, -173, 
1910, 1911, -15, -188, 
1911, 1912, -3, -191, 
1912, 1913, -2, -193, 
1913, 1914, -8, -201, 
1914, 1915, -4, -205, 
1915, 1917, -2, -207, 
1917, 1918, +8, -199, 
1918, 1919, +23, -176, 
1919, 1920, +32, -144, 
1920, 1921, +18, -126, 
1921, 1922, +6, -120, 
1922, 1923, -31, -151, 
1923, 1924, +14, -137, 
1924, 1925, -4, -141, 
1925, 1926, +72, -69, 
1926, 1927, +8, -61, 
1927, 1928, +11, -50, 
1928, 1929, +11, -39, 
1929, 1930, -17, -56, 
1930, 1931, +16, -40, 
1931, 1932, -7, -47, 
1932, 1933, -33, -80, 
1933, 1934, +10, -70, 
1934, 1935, -8, -78, 
1935, 1936, -4, -82, 
1936, 1937, -5, -87, 
1937, 1938, -1, -88, 
1938, 1939, -13, -101, 
1939, 1940, -3, -104, 
1940, 1941, -16, -120, 
1941, 1942, -13, -133, 
1942, 1943, -21, -154, 
1943, 1944, -12, -166, 
1944, 1945, +18, -148, 
1945, 1946, -8, -156, 
1946, 1947, -18, -174, 
1947, 1948, -4, -178, 
1948, 1949, -10, -188, 
1949, 1950, -25, -213, 
1950, 1951, -26, -239, 
1952, 1953, -13, -252, 
1953, 1954, 0, -252, 
1954, 1956, -18, -270, 
1956, 1957, -21, -291, 
1957, 1958, -28, -319, 
1958, 1961, -18, -337, 
1961, 1962, 0, -337, 
1962, 1963, -7, -344, 
1963, 1965, -1, -345, 
1965, 1966, -5, -350, 
1966, 1967, -2, -352, 
1967, 1968, -6, -358, 
1968, 1969, -6, -364, 
1969, 1970, +2, -362, 
1970, 1971, -10, -372, 
1971, 1972, 0, -372, 
1972, 1973, +3, -369, 
1973, 1974, 0, -369, 
1974, 1976, +4, -365, 
1976, 1977, -7, -372, 
1977, 1978, +12, -360, 
1978, 1979, -4, -364, 
1979, 1980, +12, -352, 
1980, 1981, +7, -345, 
1981, 1982, +3, -342, 
1982, 1983, +13, -329, 
1983, 1984, +11, -318, 
1984, 1985, +3, -315, 
1985, 1986, -7, -322, 
1986, 1987, +6, -316, 
1987, 1989, -2, -318, 
1989, 1990, -2, -320, 
1990, 1991, -6, -326, 
1991, 1994, -13, -339, 
1994, 1995, -3, -342, 
1995, 1996, -13, -355, 
1996, 1997, 0, -355, 
1997, 1999, -11, -366, 
1999, 2000, -4.6, -371, 
2000, 2001, -3.4, -374, 
2001, 2002, -4.8, -379, 
2002, 2003, -6.2, -385, 
2003, 2004, -6.6, -392, 
2004, 2005, -12, -404, 
2005, 2006, -1.8, -405, 
2006, 2007, -5.2, -411, 
2007, 2008, -1.9, -413, 
2008, 2009, -8.7, -421, 
2009, 2010, -11.8, -433, 
2010, 2011, -18, -451, 
2011, 2012, -14.7, -466, 
2012, 2013, -12.7, -478, 
2013, 2014, -43.4, -522, 
2014, 2015, -29.9, -552, 
2015, 2016, -12.8, -565, 
