col1,col2,col3,col4
Glacier, Glacier de Zinal, ,
Community, Ayer, ,
Canton, VS, ,
Number, , ,
Length (1973), 7.50, ,
Area (1973), 15.42, ,
Coordinates, 616.5, 100.5,
Exposition, N, ,
  , , ,
Length variation measurements between 1891 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1891, 1892, -14, -14, 
1892, 1893, -24, -38, 
1893, 1894, -20, -58, 
1894, 1895, -100, -158, 
1895, 1896, -50, -208, 
1896, 1897, -50, -258, 
1897, 1898, -30, -288, 
1898, 1899, -60, -348, 
1899, 1900, -20, -368, 
1900, 1901, -10, -378, 
1901, 1902, -20, -398, 
1902, 1903, -13, -411, 
1903, 1904, -15, -426, 
1904, 1905, -10, -436, 
1905, 1906, -15, -451, 
1906, 1907, -12, -463, 
1907, 1908, -15, -478, 
1908, 1909, -16, -494, 
1909, 1910, -25, -519, 
1910, 1911, -22, -541, 
1911, 1912, -10, -551, 
1912, 1913, -10, -561, 
1913, 1914, -11, -572, 
1914, 1915, -23, -595, 
1915, 1916, -14, -609, 
1916, 1917, -42, -651, 
1917, 1918, -21, -672, 
1918, 1919, -26, -698, 
1919, 1920, +32, -666, 
1920, 1921, -16, -682, 
1921, 1922, -4, -686, 
1922, 1923, -2, -688, 
1923, 1924, -5, -693, 
1924, 1925, +2, -691, 
1925, 1926, +2, -689, 
1926, 1927, +4, -685, 
1927, 1928, 0, -685, 
1928, 1929, 0, -685, 
1929, 1931, -2, -687, 
1931, 1932, -2, -689, 
1932, 1933, +4, -685, 
1933, 1934, -4, -689, 
1934, 1935, +5, -684, 
1935, 1936, -5, -689, 
1936, 1937, -5, -694, 
1937, 1938, -8, -702, 
1938, 1939, +12, -690, 
1939, 1940, -10, -700, 
1940, 1941, 0, -700, 
1941, 1942, -14, -714, 
1942, 1943, -11, -725, 
1943, 1944, -7, -732, 
1944, 1945, -28, -760, 
1945, 1946, -9, -769, 
1946, 1947, -4, -773, 
1947, 1948, -8, -781, 
1948, 1949, -11, -792, 
1949, 1950, -8, -800, 
1950, 1951, -3, -803, 
1951, 1952, -5, -808, 
1952, 1953, -6, -814, 
1953, 1954, -10, -824, 
1954, 1955, +2, -822, 
1955, 1956, -4, -826, 
1956, 1957, -8, -834, 
1957, 1958, -10, -844, 
1958, 1959, -14, -858, 
1959, 1961, -32, -890, 
1961, 1962, -10, -900, 
1962, 1963, -16, -916, 
1963, 1964, -16, -932, 
1964, 1965, -19, -951, 
1965, 1966, 0, -951, 
1966, 1967, -2, -953, 
1967, 1968, -16, -969, 
1968, 1969, -29, -998, 
1969, 1970, -1, -999, 
1970, 1971, -10, -1009, 
1971, 1972, -42, -1051, 
1972, 1973, -45, -1096, 
1973, 1974, +33, -1063, 
1974, 1975, -82, -1145, 
1975, 1976, -32, -1177, 
1976, 1977, -25, -1202, 
1977, 1978, +22, -1180, 
1978, 1979, -10, -1190, 
1979, 1980, +4, -1186, 
1980, 1981, -10, -1196, 
1981, 1982, -22, -1218, 
1982, 1983, -40, -1258, 
1983, 1984, +23, -1235, 
1984, 1985, +16, -1219, 
1985, 1986, -19, -1238, 
1986, 1987, -25, -1263, 
1987, 1988, +4, -1259, 
1988, 1990, -82, -1341, 
1990, 1991, -15, -1356, 
1991, 1992, -30, -1386, 
1992, 1993, -7, -1393, 
1993, 1994, -4, -1397, 
1994, 1995, -6, -1403, 
1995, 1996, -18, -1421, 
1996, 1997, -14, -1435, 
1997, 1998, -30, -1465, 
1998, 1999, -45, -1510, 
1999, 2000, -18, -1528, 
2000, 2001, -5, -1533, 
2001, 2002, -4, -1537, 
2002, 2003, -4.3, -1541, 
2003, 2004, -9, -1550, 
2004, 2005, -8, -1558, 
2005, 2006, -6.7, -1565, 
2006, 2007, -15, -1580, 
2007, 2009, -33.8, -1614, 
2009, 2010, -8.5, -1622, 
2010, 2011, -16, -1638, 
2011, 2012, -14.2, -1653, 
2012, 2013, -41.9, -1694, 
2012, 2014, -30.4, -1683, 
2014, 2015, -9.6, -1693, 
2015, 2016, -7.8, -1700, 
