col1,col2,col3,col4
Glacier, Zmuttgletscher, ,
Community, Zermatt, ,
Canton, VS, ,
Number, , ,
Length (1973), 6.70, ,
Area (1973), 16.89, ,
Coordinates, 612.0, 92.0,
Exposition, E, ,
  , , ,
Length variation measurements between 1892 and 2010, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1892, 1893, -5, -5, 
1893, 1894, -3, -8, 
1894, 1896, -9, -17, 
1896, 1897, -12, -29, 
1897, 1898, -13, -42, 
1898, 1899, -27, -69, 
1899, 1900, -12, -81, 
1900, 1901, -10, -91, 
1927, 1928, -11, -102, 
1928, 1929, -13, -115, 
1929, 1930, 0, -115, 
1930, 1931, 0, -115, 
1931, 1932, -2, -117, 
1932, 1936, -10, -127, 
1936, 1943, -128, -255, 
1943, 1947, -64, -319, 
1947, 1949, -23, -342, 
1949, 1950, -14, -356, 
1950, 1951, -8, -364, 
1951, 1953, -51, -415, 
1953, 1954, -6, -421, 
1954, 1955, -4, -425, 
1955, 1957, -24, -449, 
1957, 1958, -36, -485, 
1958, 1959, -32, -517, 
1959, 1961, -43, -560, 
1961, 1962, -32, -592, 
1962, 1963, -19, -611, 
1963, 1964, -26, -637, 
1964, 1965, -24, -661, 
1965, 1966, -13, -674, 
1966, 1967, -17, -691, 
1967, 1968, -13, -704, 
1968, 1969, -19, -723, 
1969, 1970, -19, -742, 
1970, 1971, -14, -756, 
1971, 1972, -8, -764, 
1972, 1973, -22, -786, 
1973, 1974, -32, -818, 
1974, 1975, -6, -824, 
1975, 1976, -46, -870, 
1976, 1977, -30, -900, 
1977, 1978, -54, -954, 
1978, 1979, -22, -976, 
1979, 1980, -8, -984, 
1980, 1981, -16, -1000, 
1981, 1982, -8, -1008, 
1982, 1983, 1, -1007, 
1983, 1984, -6, -1013, 
1984, 1985, -4, -1017, 
1985, 1986, +2, -1015, 
1986, 1987, -3, -1018, 
1987, 1988, +10, -1008, 
1988, 1989, -2, -1010, 
1989, 1990, +7, -1003, 
1990, 1991, +3, -1000, 
1991, 1992, -2, -1002, 
1992, 1993, +2, -1000, 
1993, 1994, 0, -1000, 
1994, 1996, +1, -999, 
1996, 1997, 0, -999, 
1997, 2010, -183, -1182, 
